,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
116,Frittenwerk Berlin Friedrichstraße,8.6,,,1.0,,american,Friedrichstraße 69,10117,Berlin,52.51263669999999,13.3896904,wolt
117,SUPERFOODS & ORGANIC LIQUIDS Mitte,6.8,,,2.0,,healthy,Friedrichstraße 63,10117,Berlin,52.5117086966474,13.389806035124268,wolt
118,beets&roots Dorotheenstr.,8.8,,,2.0,,poke,Dorotheenstrasse 83,10117,Berlin,52.51829252138391,13.383897236769467,wolt
119,Jinbu Sushi,8.4,,,2.0,,asian,Bertolt-Brecht-Platz 2,10117,Berlin,52.52243060340517,13.386233377523824,wolt
120,Cowei,8.6,,,1.0,,asian,James-Simon-Park 152,10178,Berlin,52.5222596,13.3996438,wolt
121,Van Long,8.4,,,2.0,,asian,Reinhardtstraße 8,10117,Berlin,52.52379697423213,13.386434408597848,wolt
122,Burgerwood,7.6,,,1.0,,american,Reinhardtstraße 47,10117, Berlin,52.52213430971234,13.378588283074198,wolt
123,Go!Fish - Spandauer Strasse,7.0,,,1.0,,seafood,This is a virtual venue,10178,Berlin,52.5206084,13.404795,wolt
124,Miu Lunch,,,,1.0,,asian,Reinhardtstraße 47 A,10117,Berlin,52.5221767,13.3781882,wolt
125,Army Food,,,,1.0,,healthy,Mauerstraße 1,10117,Berlin,52.510943,13.3870163,wolt
126,Sons of Mana x Royals & Rice,9.0,,,2.0,,poke,Friedrichstraße 67,10117,Berlin,52.51261539999999,13.3905721,wolt
127,Hopfingerbräu am Brandenburger Tor,,,,2.0,,european,Ebertstraße 24,10117,Berlin,52.5172234,13.377556,wolt
128,Five Rivers,8.8,,,2.0,,asian,Albrechtstraße 11,10117,Berlin,52.5214627,13.3848372,wolt
129,Dunkin’ Donuts Friedrichsstraße,,,,2.0,,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,52.52052444659835,13.386710500133292,wolt
130,MA'LOA Poke Bowl Oberwallstr.,8.8,,,2.0,,american,Oberwallstraße 9,10117,Berlin,52.5134504,13.396947,wolt
131,Sushi Miyabi Mitte,8.0,,,2.0,,asian,Georgenstraße 195,10117,Berlin,52.52005035643261,13.39064903068943,wolt
132,Peking Ente Berlin,8.8,,,2.0,,asian,Voßstraße 1,10117,Berlin,52.5115276,13.3828073,wolt
133,Subway Behrenstrasse,7.8,,,2.0,,fastfood,Behrenstrasse 47,10117,Berlin,52.51580522932664,13.38987548836371,wolt
134,Frittenwerk Mall of Berlin,8.4,,,1.0,,fastfood,Leipziger Pl. 12,10117, Berlin,52.5106200356328,13.379610784424187,wolt
135,Yakoolza,8.6,,,2.0,,asian,Wilhelmstraße 87,10117,Berlin,52.51309810543373,13.381989088118448,wolt
136,Little Green Rabbit Unter den Linden,8.2,,,2.0,,healthy,Unter den Linden 21,10117,Berlin,52.5166207,13.3897757,wolt
137,Haferkater Mitte,8.8,,,2.0,,breakfast/dessert,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,52.5202894,13.3869776,wolt
138,Ristorante Pizzeria Roma,8.4,,,2.0,,italian,Friedrichstraße 129,10117,Berlin,52.52504113280851,13.387145586434125,wolt
139,Ristorante Bella Vita,7.6,10.0,1.9,2.0,,italian,Mittelstraße 62,10117,Berlin,52.5179452,13.389358,wolt
140,Restaurant Aposto,8.0,10.0,1.9,,,european,Monbijouplatz 12,10178,Berlin,,,wolt
141,Pizza Peppino,,10.0,1.9,1.0,,european,Tucholskystraße 13,10117,Berlin,52.52339332586772,13.391764043640274,wolt
142,Haferkater Mitte,8.6,10.0,1.9,2.0,,breakfast/dessert,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,52.5202894,13.3869776,wolt
143,Breakfast Club by Quchnia,8.4,10.0,1.9,2.0,,breakfast/dessert,This is a virtual venue,10117,Berlin,52.51279599999999,13.3937831,wolt
144,mama trattoria,7.8,10.0,1.9,2.0,,european,Pariser Platz 6a,10117,Berlin,52.516929596762495,13.377739214551184,wolt
145,CRACKBUNS,9.0,10.0,,1.0,35.0,american,Auguststrasse 63,10117,Berlin,52.527203,13.3971057,wolt
146,Monsieur Vuong,8.8,10.0,,2.0,35.0,asian,Alte Schönhauser Str. 46,10119,Berlin,52.5266587656873,13.40794609384705,wolt
147,Umami Prenzlauer Berg,8.8,10.0,,2.0,35.0,asian,Knaackstraße 16-18,10405,Berlin,52.53461799999999,13.4197911,wolt
148,Kuchi Mitte,8.8,10.0,,2.0,45.0,asian,Gipsstraße 3,10119,Berlin,52.5271845,13.3993081,wolt
149,Kebap with attitude,8.2,10.0,,2.0,45.0,middle eastern,Gipsstraße 2,10119,Berlin,52.52724314420447,13.39913771682263,wolt
150,Shiso Burger Mitte,8.4,10.0,,2.0,45.0,,Auguststrasse 29C,10119,Berlin,52.527281088490106,13.39881999755326,wolt
151,Burgermeister Potsdamer Platz,8.6,10.0,,1.0,35.0,american,Potsdamer Platz 1 ,10785,Berlin,52.50911563386791,13.374227434253475,wolt
152,Noumi,9.2,10.0,,2.0,35.0,asian,Jägerstr. 35,10117,Berlin,52.5143007,13.397416,wolt
153,Tommi's Burger Joint Mitte,7.6,10.0,,2.0,35.0,american,Invalidenstrasse 160,10115,Berlin,52.53238289999999,13.3976359,wolt
154,Brammibal's Donuts - Potsdamer Platz,9.6,10.0,,1.0,35.0,breakfast/dessert,Alte Potsdamer Str. 11,10785,Berlin,52.5080051,13.3738108,wolt
155,Hako Ramen Prenzlauer Berg,8.8,10.0,,2.0,35.0,asian,Kastanienallee 16,10435,Berlin,52.538508,13.40932,wolt
156,District Mot,8.2,10.0,,1.0,35.0,asian,Rosenthaler Str. 62,10119,Berlin,52.527961,13.4030479,wolt
157,Rosenburger,8.8,10.0,,1.0,35.0,american,Brunnenstraße 196,10119,Berlin,52.5300812,13.4006739,wolt
158,Mr Imbiss Berlin,,10.0,,,35.0,,Schützenstraße 2,10117, Berlin,52.508507041615765,13.390493204098584,wolt
159,Frittenwerk Berlin Friedrichstraße,8.6,10.0,,1.0,50.0,american,Friedrichstraße 69,10117,Berlin,52.51263669999999,13.3896904,wolt
160,Chicken Buzz,8.8,10.0,,1.0,35.0,snacks,Rosenthaler Str. 71,10119,Berlin,52.5290313,13.4020603,wolt
161,BunUp Mitte,7.8,10.0,,1.0,45.0,vegetarian or vegan,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
162,Angry Chicken Kreuzberg,8.6,10.0,,1.0,35.0,snacks,Oranienstr 16,10999,Berlin,52.5006148,13.4229027,wolt
163,Stay Green,9.4,10.0,,1.0,35.0,poke,Leipziger Str. 51,10117,Berlin,52.5107206,13.4016645,wolt
164,La Gino,8.0,10.0,,1.0,35.0,european,Rudi-Dutschke-Straße 20,10969,Berlin,52.50697564217489,13.392174971759124,wolt
165,Dunkin’ Donuts Friedrichsstraße,,10.0,,2.0,35.0,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,52.52052444659835,13.386710500133292,wolt
166,Curry Mitte,9.0,10.0,,1.0,35.0,fastfood,Torstraße 122 ,10119,Berlin,52.52947949164066,13.401082658763467,wolt
167,NORDSEE - Berlin Spandauer Straße,8.2,10.0,,1.0,35.0,seafood,Spandauer Str. 4,10178,Berlin,52.52070579999999,13.4046972,wolt
168,Q Burger Mitte,8.4,10.0,,1.0,35.0,american,Zimmerstraße 68,10117,Berlin,52.508031841694375,13.393314303705523,wolt
169,Van Anh Quan,,10.0,,1.0,35.0,asian,Brunnenstrasse 182,10119,Berlin,52.5315687,13.3993977,wolt
170,Espresso House Friedrichstraße,7.6,10.0,,1.0,45.0,fastfood,Friedrichstraße 125,10117,Berlin,52.5258858,13.3868659,wolt
171,Burgermann,8.8,10.0,1.9,1.0,,american,Schönhauser Allee 173,10119,Berlin,52.532460231915074,13.412155674891162,wolt
172,beets&roots Grosse Hamburger Str.,8.4,10.0,,2.0,35.0,poke,Große Hamburger Str. 38,10115,Berlin,52.526624245310536,13.398531103669365,wolt
173,Army Food,,10.0,,1.0,45.0,healthy,Mauerstraße 1,10117,Berlin,52.510943,13.3870163,wolt
174,Aftab Station East,9.4,10.0,,1.0,35.0,,Kastanienallee 90,10435,Berlin,52.5380962,13.4095875,wolt
175,Berlin Currys,7.8,10.0,,1.0,35.0,fastfood,Karl-Liebknecht-Str. 13,10178,Berlin,52.5223087920727,13.40833332740671,wolt
176,Marthas Delicious Burgers,8.6,10.0,,1.0,35.0,american,Mehringdamm 40,10961,Berlin,52.4927042,13.3871858,wolt
177,Chen Che,8.0,10.0,,1.0,35.0,asian,Rosenthaler Str. 62,10119,Berlin,52.527961,13.4030479,wolt
178,Mizu Ramen,8.8,10.0,,2.0,45.0,asian,Friedrichstraße 115,10117,Berlin,52.5268053,13.3874491,wolt
179,Sons of Mana x Royals & Rice,9.0,10.0,,2.0,50.0,poke,Friedrichstraße 67,10117,Berlin,52.51261539999999,13.3905721,wolt
180,Yumcha Heroes,9.0,10.0,,2.0,35.0,asian,Weinbergsweg 8,10119,Berlin,52.53116037652719,13.402767995750356,wolt
181,PHO Noodlebar Mitte,8.2,10.0,,2.0,45.0,asian,Linienstraße 134,10115,Berlin,52.52645771339539,13.387788991402266,wolt
182,Momotaro Tavern,8.6,10.0,,1.0,45.0,asian,Panoramastraße 1A,10178,Berlin,52.52119813848951,13.409617039645097,wolt
183,Mubi's Cookies,9.4,10.0,,1.0,35.0,breakfast/dessert,Reichenberger Str. 176,10999,Berlin,52.49974573267797,13.41704318969611,wolt
184,Steel Vintage Bikes Café Auguststr.,9.0,10.0,,1.0,35.0,breakfast/dessert,Auguststraße 91,10117,Berlin,52.52602558141521,13.390530028241969,wolt
185,Feel Seoul Good,8.6,10.0,,1.0,35.0,asian,Husemannstr. 2,10435,Berlin,52.53691689999999,13.4176047,wolt
186,Khushi,9.0,10.0,,2.0,35.0,middle eastern,Kollwitzstr. 37,10405,Berlin,52.5340394,13.4149747,wolt
187,MA'LOA Poke Bowl Oberwallstr.,8.8,10.0,,2.0,35.0,american,Oberwallstraße 9,10117,Berlin,52.5134504,13.396947,wolt
188,Pizza Point Zimmerstr.,8.2,10.0,,1.0,35.0,italian,Zimmerstraße 10,10969,Berlin,52.5073228,13.3878867,wolt
189,Dolores - Mitte,8.8,10.0,,2.0,45.0,mexican,Rosa – Luxemburg – Straße 7,10178,Berlin,52.5237938,13.4091964,wolt
190,Sushi Point,,10.0,,2.0,35.0,seafood,Grunerstraße 20,10179,Berlin,52.5200038,13.4152231,wolt
191,Hummus Company,8.0,10.0,,1.0,45.0,middle eastern,Leipziger Platz 12,10117,Berlin,52.5102491,13.3799541,wolt
192,Peking Ente Berlin,8.8,10.0,,2.0,35.0,asian,Voßstraße 1,10117,Berlin,52.5115276,13.3828073,wolt
193,Jinbu Sushi,8.4,10.0,,2.0,35.0,asian,Bertolt-Brecht-Platz 2,10117,Berlin,52.52243060340517,13.386233377523824,wolt
194,Subway Behrenstrasse,7.8,10.0,,2.0,35.0,fastfood,Behrenstrasse 47,10117,Berlin,52.51580522932664,13.38987548836371,wolt
195,Sushi Miyabi Mitte,8.0,10.0,,2.0,35.0,asian,Georgenstraße 195,10117,Berlin,52.52005035643261,13.39064903068943,wolt
196,Spagettini,7.4,10.0,,1.0,45.0,italian,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
197,Frittenwerk Mall of Berlin,8.4,10.0,,1.0,50.0,fastfood,Leipziger Pl. 12,10117, Berlin,52.5106200356328,13.379610784424187,wolt
198,Tacco Point,7.4,10.0,,1.0,35.0,mexican,Zimmerstr. 19,10969,Berlin,52.5075063,13.3895957,wolt
199,Cha - Natural Drinks,9.0,10.0,,1.0,35.0,breakfast/dessert,Brunnenstraße 173,10115,Berlin,52.53288509999999,13.3984652,wolt
200,Global Tea,9.0,10.0,,1.0,35.0,breakfast/dessert,Max-Beer-Straße 13,10119,Berlin,52.52554070000001,13.4080503,wolt
201,Esra,7.8,10.0,,1.0,45.0,middle eastern,Rosa-Luxemburg-Straße 5,10178,Berlin,52.523637,13.409156,wolt
202,Haferkater Mitte,8.6,10.0,,2.0,35.0,breakfast/dessert,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,52.5202894,13.3869776,wolt
203,Café Journale ,7.8,10.0,,1.0,35.0,italian,Lindenstraße 37,10969,Berlin,52.5068558,13.3984213,wolt
204,Campus Suite - Food Factory Cube,8.8,10.0,,1.0,50.0,italian,Washingtonplatz 3,10557,Berlin,52.5236065,13.3691979,wolt
205,Asman,8.4,10.0,,1.0,35.0,middle eastern,Ackerstraße 20,10115,Berlin,52.53156796761646,13.39662193373002,wolt
206,Kaffee Kiana,,10.0,,1.0,35.0,cafes,Prenzlauer Allee 38,10405,Berlin,52.5350171,13.4223028,wolt
207,Little Green Rabbit Unter den Linden,8.2,10.0,,2.0,35.0,healthy,Unter den Linden 21,10117,Berlin,52.5166207,13.3897757,wolt
208,Bonanza Coffee Roasters,9.0,10.0,,1.0,35.0,cafes,Adalbertstr. 70,10999,Berlin,52.5041589,13.4203336,wolt
209,Lemon Grass Scent,8.6,10.0,,1.0,45.0,asian,Schwedter Str. 12,10119,Berlin,52.53381212667559,13.409727515939093,wolt
210,Effe & Gold,,10.0,,1.0,50.0,american,Washingtonplatz 3,10557,Berlin,52.5236065,13.3691979,wolt
211,Ristorante Bella Vita,7.6,10.0,,2.0,50.0,italian,Mittelstraße 62,10117,Berlin,52.5179452,13.389358,wolt
212,Five Guys Mitte,7.8,10.0,,2.0,35.0,american,Alexanderpl. 2,10178,Berlin,52.5205493482613,13.41422543051924,wolt
213,Aapka Restaurant,8.8,10.0,,2.0,45.0,middle eastern,Kastanienallee 50,10119,Berlin,52.53398203689549,13.40478492929456,wolt
214,Jabe Sushi Bar,8.8,,,2.0,35.0,asian,This is a virtual venue,10117,Berlin,52.51261539999999,13.3905721,wolt
215,Co-Chu,8.8,10.0,,2.0,35.0,asian,"Invalidenstraße, 29",10115,Berlin,52.5312198,13.3844848,wolt
216,Shezan,8.6,10.0,,2.0,50.0,middle eastern,Neue Roßstraße 13,10179,Berlin,52.51217999072536,13.408207427139809,wolt
217,Ristorante Pizzeria Roma,8.4,10.0,,2.0,35.0,italian,Friedrichstraße 129,10117,Berlin,52.52504113280851,13.387145586434125,wolt
218,Five Rivers,8.8,10.0,,2.0,35.0,asian,Albrechtstraße 11,10117,Berlin,52.5214627,13.3848372,wolt
219,Capvin,8.2,10.0,,2.0,35.0,italian,Weinbergsweg 24,10119,Berlin,52.53074110000001,13.401757,wolt
220,Gogi Boss Korean Grill Express,8.4,10.0,,1.0,35.0,asian,Mehringdamm 38,10961,Berlin,52.4933416,13.3875471,wolt
221,Alt-Berliner Gasthaus Julchen Hoppe,9.0,10.0,,2.0,35.0,european,Rathausstraße 25,10178,Berlin,52.51733607261106,13.404971896959797,wolt
222,Cana Restaurant ,9.2,10.0,,2.0,50.0,middle eastern,Neue Roßstraße 11,10179,Berlin,52.512489901723086,13.408856382209862,wolt
223,Marubi Ramen,8.6,10.0,,2.0,35.0,asian,Schönhauser Allee 177,10119,Berlin,52.531405698496165,13.411769675463102,wolt
224,Pizzeria Marienkaefer,8.6,10.0,,2.0,35.0,italian,Marienstraße 18 ,10117,Berlin,52.52231788904327,13.383895084656176,wolt
225,DALUMA,8.6,10.0,,2.0,35.0,poke,Weinbergsweg 3,10119,Berlin,52.53050805139134,13.40215026441957,wolt
226,Wildes Fraeulein,9.2,10.0,,2.0,50.0,european,Hilda-Geiringer-Weg 6,10557,Berlin,52.52675619999999,13.3723415,wolt
227,Amici Amici,8.0,10.0,,2.0,35.0,european,Mehringdamm 40,10961,Berlin,52.4927042,13.3871858,wolt
228,Hito Falafel,9.0,10.0,,2.0,35.0,middle eastern,Chauseestraße 4,10115,Berlin,52.527779975720726,13.38692562524518,wolt
229,Chelany Mitte,8.6,10.0,,2.0,35.0,fastfood,Torstraße 221,10115,Berlin,52.5276532,13.38861,wolt
230,Choppaluna,9.0,10.0,,2.0,35.0,healthy,Rudi-Dutschke-Str. 17,10969,Berlin,52.5067797,13.3933877,wolt
231,Pablo Coffee,,10.0,,1.0,35.0,breakfast/dessert,Oranienstraße 35,1099, Berlin,52.501712243866045,13.418091697167702,wolt
232,SMASH! Mitte,8.6,10.0,,1.0,35.0,american,This is a virtual venue,10179,Berlin,52.5115059,13.4169483,wolt
233,Cat Tuong,9.2,10.0,,2.0,35.0,vegetarian or vegan,Kastanienallee 89,10435,Berlin,52.5380057,13.4094521,wolt
234,CHICKEN POW ! Mitte,8.2,10.0,,1.0,35.0,fastfood,This is a virtual venue,10179,Berlin,52.5115059,13.4169483,wolt
235,Machiavelli,8.4,10.0,,2.0,35.0,european,Albrechtstr.13 Berlin,10117, Berlin,52.52130280012305,13.385180090564926,wolt
236,Quy Nguyen Vegan Living ,8.8,10.0,,2.0,45.0,asian,Oranienburger Str. 7,10178,Berlin,52.52374380000001,13.4004558,wolt
237,Besh,8.8,10.0,,1.0,35.0,vegetarian or vegan,Brückenstraße 15,10179,Berlin,52.511594911272894,13.416638899619755,wolt
238,Food Brother Mitte,8.0,10.0,,2.0,35.0,middle eastern,Rosenthaler Straße 67,10119,Berlin,52.52856269999999,13.402465,wolt
239,HaiCoffee,8.6,10.0,,2.0,35.0,asian,Wallstraße 2,10179,Berlin,52.5111832,13.4036668,wolt
240,momos - organic veggie dumplings,8.6,10.0,,2.0,35.0,vegetarian or vegan,Chausseestr.2 ,10115,Berlin,52.52756239232951,13.3870843374352,wolt
241,Biogoods Cafe,8.6,10.0,,1.0,35.0,breakfast/dessert,Kastanienallee 101,10435,Berlin,52.53968601713253,13.411170568800374,wolt
242,Royals & Rice,8.8,10.0,,3.0,35.0,asian,Torstraße 164,10115,Berlin,52.5288602,13.3959879,wolt
243,Il Cantuccio Berlino,9.2,10.0,,1.0,35.0,,Wörther Str. 24,10405,Berlin,52.5355087,13.4215384,wolt
244,Mogg,9.0,10.0,,2.0,45.0,,Auguststr. 11- 13,10117,Berlin,52.5264862,13.3944418,wolt
245,Bergmann Burger by BeefMan,8.4,10.0,,1.0,35.0,american,Bergmannstraße 112,10961,Berlin,52.4902266,13.3873411,wolt
246,Salsabil 2 Prenzlauer Berg,7.8,10.0,,1.0,35.0,middle eastern,Wörther Str 16,10405,Berlin,52.536147371418735,13.4194759926894,wolt
247,Hasir Burger Kreuzberg,8.2,10.0,,1.0,35.0,american,Adalbertstraße 91,10999,Berlin,52.5011783,13.4189707,wolt
248,NamPan,8.8,10.0,,2.0,35.0,asian,Oranienburger Straße 66,10117,Berlin,52.52507150722472,13.391728193152892,wolt
249,The Everest Restaurant,8.0,10.0,,1.0,35.0,middle eastern,Turmstraße 17,10559,Berlin,52.5264636,13.3493792,wolt
250,Wonder Waffel Kreuzberg,8.2,10.0,,1.0,35.0,breakfast/dessert,Adalbertstraße 88,10997,Berlin,52.5017233,13.41937420000002,wolt
251,Sesam,8.4,10.0,,1.0,35.0,middle eastern,Gneisenaustraße 22,10961,Berlin,52.49134181590573,13.394003163770815,wolt
252,Pizza Noi,,10.0,,1.0,35.0,italian,Potsdamer Straße 112,10785,Berlin,52.50057444327202,13.363152750293107,wolt
253,90°C Bubble Tea & Cafe,9.2,10.0,,2.0,45.0,breakfast/dessert,Novalisstraße 1,10115,Berlin,52.52780391678912,13.389289793255063,wolt
254,Asia Gondel,8.8,10.0,,1.0,35.0,asian,Brückenstr 1-b,10179,Berlin,52.5116365,13.4171036,wolt
255,SIIO,,10.0,,2.0,35.0,asian,Spandauer Str. 3,10178,Berlin,52.5200252,13.4037884,wolt
256,Yakoolza,8.6,10.0,,2.0,35.0,asian,Wilhelmstraße 87,10117,Berlin,52.51309810543373,13.381989088118448,wolt
257,Habba Habba,9.0,10.0,,2.0,35.0,middle eastern,Kastanienallee 15,10435,Berlin,52.53884337447212,13.409717444178945,wolt
258,Cult Burger,8.4,10.0,,1.0,35.0,american,Kastanienallee 48,10119,Berlin,52.53482851866689,13.40565636967898,wolt
259,Anand,8.0,10.0,,2.0,35.0,middle eastern,Albrechtstraße 12,10117,Berlin,52.5211654,13.384961,wolt
260,Burger City - Potsdamer Straße,,10.0,,1.0,35.0,american,Potsdamer Straße 129,10783,Berlin,52.4973097,13.3625665,wolt
261,WILD & RAW,8.6,10.0,,2.0,35.0,healthy,Weinbergsweg 5,10119,Berlin,52.5307281,13.402446,wolt
262,FECHTNER Berlin,8.8,10.0,,2.0,35.0,european,Torstraße 114,10119,Berlin,52.529583,13.4025829,wolt
263,Italofritzen,7.4,10.0,,2.0,35.0,european,Friedrichstraße 105,10117,Berlin,52.5227282,13.3881445,wolt
264,Huong Que - Mitte,9.0,10.0,,2.0,35.0,asian,Weinbergsweg 27,10119,Berlin,52.53032327108959,13.401492579761,wolt
265,Jigi Poke Mitte,8.8,10.0,,2.0,35.0,poke,Rosenthaler 69,10119,Berlin,52.52875640803166,13.402202582625035,wolt
266,Saravanaa Bhavan Berlin,8.6,10.0,,2.0,50.0,middle eastern,Potsdamer Platz 5,10785,Berlin,52.510509,13.3761878,wolt
267,VietBowl Potsdamer Platz,8.6,10.0,,2.0,35.0,asian,Marlene-Dietrich-Platz 1,10785,Berlin,52.5070442,13.3720023,wolt
268,O'Tacos Berlin Spandauer Str.,7.4,10.0,,2.0,35.0,european,This is a virtual venue,10178,Berlin,52.5206084,13.404795,wolt
269,Burger Vision Torstraße,8.4,10.0,,2.0,35.0,american,Torstraße 128,10119,Berlin,52.5293856,13.4004516,wolt
270,Son Kitchen Foodtruck,8.6,10.0,,2.0,35.0,asian,Varian-Fry-Straße ,10785,Berlin,52.5088036,13.3742494,wolt
271,Vegang Prenzlauerberg,9.2,10.0,,2.0,35.0,vegetarian or vegan,Oderberger Str. 51-52,10435,Berlin,52.53873088658537,13.408752428603922,wolt
272,Berlin Burrito Company Prenzlauer Berg,8.4,10.0,,2.0,35.0,mexican,Kastanienallee 59,10119,Berlin,52.5337482,13.4052141,wolt
273,Simela,8.6,10.0,,2.0,45.0,italian,Koppenplatz 1,10115,Berlin,52.5275297,13.3981443,wolt
274,Good Morning Vietnam,9.0,10.0,,2.0,35.0,asian,Alte Schönhauser Str. 60,10119,Berlin,52.52839669999999,13.409406,wolt
275,Tuans Huette,9.0,10.0,,2.0,35.0,asian,Dircksenstraße 40,10178,Berlin,52.523608,13.4069478,wolt
276,Mundo,8.4,10.0,,2.0,35.0,mediterranean,Zimmerstr. 19,10969,Berlin,52.5075063,13.3895957,wolt
277,Pinocchio Berlin,8.0,10.0,,2.0,35.0,european,Alexanderplatz 2,10178,Berlin,52.52082559999999,13.4144639,wolt
278,Nihombashi,7.8,10.0,,2.0,35.0,asian,Weinbergsweg 4,10119,Berlin,52.5307021,13.4023004,wolt
279,BURGERS BURGERS Mitte,8.6,10.0,,2.0,35.0,american,Brückenstraße 1A,10179,Berlin,52.51158751982628,13.416926842325902,wolt
280,Pockets,8.6,10.0,,2.0,35.0,mediterranean,Torstraße 189,10115,Berlin,52.52842494597571,13.392690086507711,wolt
281,Mawal,8.0,10.0,,1.0,35.0,middle eastern,Oranienstr 30,10999,Berlin,52.5015025,13.4190701,wolt
282,Yogi Moabit,8.6,10.0,,2.0,45.0,middle eastern,Rathenower Str. 6,10559,Berlin,52.52500000000001,13.35716,wolt
283,Chen Che / Markthalle Pfefferberg,8.6,10.0,,1.0,35.0,asian,Schönhauser Alle 176,10119,Berlin,52.5320408,13.4111114,wolt
284,MEATBALLERY,,10.0,,2.0,35.0,european,Elisabeth-Schwarzhaupt-Platz 5,10115,Berlin,52.5326499,13.3876973,wolt
285,Indian Village,8.2,10.0,,2.0,45.0,fastfood,Dircksenstraße 94,10178,Berlin,52.5181633,13.4153644,wolt
286,Eat Culture,8.6,10.0,,2.0,35.0,healthy,Dircksenstraße 2,10178,Berlin,52.5216144,13.411286,wolt
287,Namu Sushi,8.0,10.0,,2.0,35.0,asian,Oranienburger Str. 17,10178,Berlin,52.5240721,13.3975879,wolt
288,mama trattoria,7.8,10.0,,2.0,45.0,european,Pariser Platz 6a,10117,Berlin,52.516929596762495,13.377739214551184,wolt
289,Chef's,8.8,10.0,,2.0,35.0,italian,Weinbergsweg 5,10119,Berlin,52.5307281,13.402446,wolt
290,La Santa Lucha Mitte,,10.0,,1.0,35.0,mexican,Holzmarktstraße 10,10179,Berlin,52.5142564,13.4210671,wolt
291,Tiger Ramen,7.4,10.0,,2.0,35.0,asian,This is a virtual venue,10119,Berlin,52.5307021,13.4023004,wolt
292,Paulaner Wirtshaus Berlin Potsdamer Platz,8.4,10.0,,2.0,35.0,european,Alte Potsdamer Str. 1,10785,Berlin,52.508671,13.3753261,wolt
293,BrewDog Berlin Mitte,8.0,10.0,,2.0,35.0,bars,Ackerstraße 29,10115,Berlin,52.532829205434375,13.395768525794836,wolt
294,Com Viet Berlin,7.8,10.0,,2.0,45.0,asian,Münzstraße 3,10178,Berlin,52.5239938,13.408986,wolt
295,Com A - Sushi & Asia Grill,8.6,10.0,,2.0,35.0,asian,Oranienstraße 191,10999,Berlin,52.50026467449638,13.42245835033197,wolt
296,Bao Burger by District Mot,7.6,10.0,,2.0,35.0,asian,This is a virtual venue,10119,Berlin,52.527961,13.4030479,wolt
297,Amrit Mitte,8.4,10.0,,3.0,50.0,middle eastern,Oranienburger Straße 45,10117,Berlin,52.525917599997776,13.389576901189136,wolt
298,Thai Huong Snack,7.8,10.0,,2.0,35.0,asian,Heinrich-Heine-Platz 12,10179,Berlin,52.5060648,13.4162217,wolt
299,Daily Warteg,9.2,10.0,,1.0,35.0,,Döberitzer Straße 1,10557,Berlin,52.5296621,13.3684618,wolt
300,smartdeli - sushi & more,8.8,10.0,,2.0,45.0,asian,Novalisstr. 2,10115,Berlin,52.52817,13.3891001,wolt
301,Le Bon Coin,7.0,10.0,,2.0,35.0,european,Kollwitzstraße 42,10405,Berlin,52.53402315849322,13.415826102446214,wolt
302,Swera,8.8,10.0,,2.0,35.0,middle eastern,Bergmanstrasse 103,10961,Berlin,52.4899929,13.3891891,wolt
303,Bar Internazionale,8.2,10.0,,2.0,35.0,european,Rosa-Luxemburg-Str. 31,10178, Berlin,52.52628499999999,13.4109594,wolt
304,Aiko Sushi,8.4,10.0,,3.0,35.0,asian,Brunnenstraße 193,10119,Berlin,52.53053882332101,13.400382578829037,wolt
305,Hans im Glück Berlin Hauptbahnhof,8.2,10.0,,2.0,45.0,american,Europaplatz 1,10557,Berlin,52.5254009639078,13.369513069171637,wolt
306,pao pao Modern Tea,9.2,10.0,,2.0,35.0,breakfast/dessert,Rosenthaler Str. 66,10119,Berlin,52.5284291,13.40252,wolt
307,Viet Street - Sushi Bar,8.8,10.0,,2.0,45.0,asian,Dirckenstr. 93,10178,Berlin,52.5180296,13.4154194,wolt
308,Tasty India,8.2,10.0,,2.0,35.0,middle eastern,Metzer 21,10405,Berlin,52.5305501,13.4183242,wolt
309,Wrapublic Mitte,8.8,10.0,,2.0,35.0,steak,Torstraße 118,10119,Berlin,52.5295128,13.4021367,wolt
310,Sehraya,,10.0,,1.0,45.0,middle eastern,Großbeerenstraße 79,10963, Berlin,52.49717729999999,13.38493329999999,wolt
311,Hempvizer Cafe,,10.0,,1.0,35.0,cafes,Brunnenstraße 35,10115,Berlin,52.5356883,13.3980538,wolt
312,Burger World ,8.4,10.0,,1.0,35.0,american,Oderberger Str. 16,10435,Berlin,52.5393494,13.4082694,wolt
313,Aloha Poke Berlin,,10.0,,2.0,45.0,poke,Washingtonplatz 3,10557,Berlin,52.523606500000014,13.369197899999994,wolt
314,Mangiare and Go,9.2,10.0,,2.0,35.0,european,Rykestraße 11,10405,Berlin,52.5362018,13.4206822,wolt
