,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
1332,beets&roots Mauerstr.,8.4,10.0,,2.0,50.0,poke,Mauerstraße 76,10117,Berlin,52.509409528999086,13.387916692065224,wolt
1333,Dunkin’ Donuts Friedrichsstraße,,10.0,,2.0,55.0,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,52.52052444659835,13.386710500133292,wolt
1334,Bar Internazionale,8.2,10.0,,2.0,55.0,european,Rosa-Luxemburg-Str. 31,10178, Berlin,52.52628499999999,13.4109594,wolt
1335,Subway Behrenstrasse,7.6,10.0,,2.0,35.0,fastfood,Behrenstrasse 47,10117,Berlin,52.51580522932664,13.38987548836371,wolt
1336,Restaurant acht&dreissig,8.0,10.0,,3.0,35.0,european,Oranienburger Str. 38,10117,Berlin,52.5254649,13.391443,wolt
1337,Espresso House Potsdamer Platz,8.4,10.0,,1.0,35.0,fastfood,Potsdamer Platz 10,10785,Berlin,52.5082174,13.3769992,wolt
1338,Ristorante Pizzeria Roma,8.4,10.0,,2.0,50.0,italian,Friedrichstraße 129,10117,Berlin,52.52504113280851,13.387145586434125,wolt
1339,Bao Burger by District Mot,7.6,10.0,,2.0,50.0,asian,This is a virtual venue,10119,Berlin,52.527961,13.4030479,wolt
1340,MEATBALLERY,,10.0,,2.0,50.0,european,Elisabeth-Schwarzhaupt-Platz 5,10115,Berlin,52.5326499,13.3876973,wolt
1341,Jabe Dine & Bar,8.8,10.0,,2.0,55.0,asian,Alte Schönhauser Str. 7,10119,Berlin,52.5274014094146,13.408137673016736,wolt
1342,La Premiata ,8.2,10.0,,3.0,35.0,italian, Weinbergsweg 4,10119,Berlin,52.5307021,13.4023004,wolt
1343,Rises Deliciacies,8.8,10.0,,2.0,35.0,middle eastern,Veteranenstraße 25,10119,Berlin,52.53302849816972,13.40014627916736,wolt
1344,Machiavelli,8.4,10.0,,2.0,50.0,european,Albrechtstr.13 Berlin,10117, Berlin,52.52130280012305,13.385180090564926,wolt
1345,Vedang - plant burger (Alexa),8.6,,,3.0,35.0,american,"Grunerstraße 20 Alexa Foodcourt, 2. OG",10179,Berlin,52.51971747719034,13.415936597520494,wolt
1346,Monsieur Vuong,8.8,10.0,,2.0,50.0,asian,Alte Schönhauser Str. 46,10119,Berlin,52.5266587656873,13.40794609384705,wolt
1347,Restaurant Mittmann's,9.0,10.0,,2.0,50.0,european,Rungestraße 11,10179,Berlin,52.5123151,13.4167629,wolt
1348,Sons of Mana Mitte,8.4,10.0,,2.0,35.0,poke,Chausseestraße 19,10115,Berlin,52.53019931058914,13.383765637415303,wolt
1349,Tacco Point,7.4,10.0,,1.0,50.0,mexican,Zimmerstr. 19,10969,Berlin,52.5075063,13.3895957,wolt
1350,Bombay,8.6,10.0,,2.0,35.0,middle eastern,Friedrichstraße 106c,10117, Berlin,52.5232743,13.3884602,wolt
1351,Babami,8.2,10.0,,2.0,50.0,asian,Zimmerstraße 23,10969,Berlin,52.5075736,13.3914197,wolt
1352,mama trattoria,8.0,10.0,,2.0,50.0,european,Pariser Platz 6a,10117,Berlin,52.516929596762495,13.377739214551184,wolt
1353,Frittenwerk Mall of Berlin,8.6,10.0,,1.0,35.0,fastfood,Leipziger Pl. 12,10117, Berlin,52.5106200356328,13.379610784424187,wolt
1354,Coréen Restaurant,9.0,10.0,,1.0,35.0,asian,Torstraße 179,10115,Berlin,52.52879,13.39407,wolt
1355,Rotisserie Weingrün,9.2,10.0,,4.0,50.0,european,Gertraudenstraße 10-12,10178,Berlin,52.51265623800703,13.402922865605952,wolt
1356,Shiso Burger Mitte,8.6,10.0,1.9,2.0,,,Auguststrasse 29C,10119,Berlin,52.527281088490106,13.39881999755326,wolt
1357,Yakoolza,8.6,10.0,,2.0,50.0,asian,Wilhelmstraße 87,10117,Berlin,52.51309810543373,13.381989088118448,wolt
1358,Don Sushi 15,8.4,10.0,,2.0,50.0,asian,Brückenstraße 15,10179,Berlin,52.5115758,13.4165275,wolt
1359,Cafe Fleury,9.2,10.0,,2.0,50.0,european,Weinbergsweg 20,10119,Berlin,52.53117446073856,13.402212173018816,wolt
1360,Kuchi Mitte,8.8,10.0,,2.0,35.0,asian,Gipsstraße 3,10119,Berlin,52.5271845,13.3993081,wolt
