restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
Paran,2,2.90,"Sanderstraße 17, Friedelstraße 35",berlin,52.4928641,13.4277989,"52.4928641,13.4277989",https://wolt.com/en/deu/berlin/restaurant/paran,wolt
Saigon Dragon,2,2.90,Grünberger Str. 35,berlin,52.5123878,13.4540499,"52.5123878,13.4540499",https://wolt.com/en/deu/berlin/restaurant/saigon-dragon,wolt
HeartSpace Coffee,2,2.90,Urbanstr. 70a,berlin,52.48849200000001,13.422979199999999,"52.48849200000001,13.422979199999999",https://wolt.com/en/deu/berlin/restaurant/heartspace-coworking-coffee,wolt
Subhero,2,2.90,Revaler Straße 11,berlin,52.5083586,13.4540022,"52.5083586,13.4540022",https://wolt.com/en/deu/berlin/restaurant/subhero,wolt
Chelany Neukoelln,2,2.90,Friedelstraße 41,berlin,52.49168738366199,13.42761119510708,"52.49168738366199,13.42761119510708",https://wolt.com/en/deu/berlin/restaurant/chelany-neukoelln,wolt
Burger Junkys,2,2.90,Lohmühlenstrasse 58-59,berlin,52.492696523120884,13.444378409192316,"52.492696523120884,13.444378409192316",https://wolt.com/en/deu/berlin/restaurant/burger-junkys,wolt
Falafel Hind,1,2.90,Kopernikusstraße 23,berlin,52.51041679999999,13.4543808,"52.51041679999999,13.4543808",https://wolt.com/en/deu/berlin/restaurant/falafel-hind,wolt
JerkMaster,2,2.90,Görlitzer Str.52,berlin,52.49740749999999,13.4393764,"52.49740749999999,13.4393764",https://wolt.com/en/deu/berlin/restaurant/jerkmaster,wolt
Babo Sushi,2,2.90,Warschauer Str. 61,berlin,52.5100106,13.4520069,"52.5100106,13.4520069",https://wolt.com/en/deu/berlin/restaurant/babo-sushi,wolt
Emma Pea,2,2.90,Revaler Str. 99,berlin,52.50748880343603,13.454329990458564,"52.50748880343603,13.454329990458564",https://wolt.com/en/deu/berlin/restaurant/emma-pea,wolt
Bantabaa Food Dealer,2,2.90,Wrangelstraße 82,berlin,52.498675974945016,13.442017084655669,"52.498675974945016,13.442017084655669",https://wolt.com/en/deu/berlin/restaurant/bantabaa-food-dealer,wolt
Pizzeria Pesaro,2,2.90,Marheineke Platz 15,berlin,52.4891862690858,13.39461065263775,"52.4891862690858,13.39461065263775",https://wolt.com/en/deu/berlin/restaurant/pizzeria-pesaro,wolt
