,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
38,Sushi City,9.4,1007,19.99,0.0,0,30,asian,Nollendorfstraße 26,10115,Berlin,52.497315,13.3514542,lieferando
39,Domino's Pizza,7.4,576,4.9,0.0,980,30,italian,Gerichtstraße 41,10115,Berlin,52.545079,13.3633909,lieferando
40,Pizza Noi,9.0,2183,25.0,1.0,978,40,italian,Potsdamer Straße 112,10115,Berlin,52.50064,13.3629801,lieferando
41,Quick Back,0.0,0,10.0,1.99,0,30,healthy,U-Bahnhof Stadtmitte 0 (U2 am Gleis),10115,Berlin,52.5111603,13.389742,lieferando
42,Taj India Haus,9.0,1215,20.0,0.0,0,50,italian,Stuttgarter Platz 16,10115,Berlin,52.505275,13.3010598,lieferando
43,First GrillHaus,9.4,440,19.9,0.0,0,30,italian,Reinickendorfer Straße 70,10115,Berlin,52.5525636,13.3666933,lieferando
44,Wedding Grillhaus,8.0,1087,12.0,0.0,927,40,middle eastern,Reinickendorfer Straße 9,10115,Berlin,52.54147,13.37033,lieferando
45,Call a Pizza,8.8,9735,8.5,0.0,1387,30,italian,Mohrenstr. 67-69,10115,Berlin,52.5117899,13.3844984,lieferando
46,Xi Gon,7.4,5771,28.0,0.0,1068,40,asian,Petersburger Platz 2,10115,Berlin,52.5215701,13.4494721,lieferando
47,Call a Pizza,7.8,4116,7.9,0.0,1376,50,italian,Reinickendorfer Straße 48,10115,Berlin,52.55037,13.36847,lieferando
48,Dildaar Indische Spezialitäten,8.0,6566,15.0,0.0,1168,40,indian,Landsberger Allee 171,10115,Berlin,52.5318293,13.469589,lieferando
49,Dunkin' Donuts,7.8,43,10.0,1.99,1100,35,breakfast/dessert,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
50,Pearl Lieferservice,6.8,9,18.0,0.0,0,50,italian,Danziger Straße 59,10115,Berlin,52.53983,13.42219,lieferando
51,fastVegan by Levo & Lori,7.6,154,10.0,5.0,0,40,italian,Martin-Luther-Straße 41,10115,Berlin,52.4936537,13.3458766,lieferando
52,Ariston Taverna Hellas,8.4,8903,20.0,2.5,1232,50,mediterranean,Markstr. 20,10115,Berlin,52.5580769,13.36552,lieferando
53,Burgerzimmer,8.2,1787,12.0,0.0,976,40,american,Pankstr. 26,10115,Berlin,52.5479203,13.3748336,lieferando
54,AMRIT - Berlin Mitte,8.8,1926,10.0,0.0,1074,45,vegetarian or vegan,Oranienburger Straße 45,10115,Berlin,52.5259176,13.3898183,lieferando
55,Da Giorgio,8.4,4075,35.0,1.0,1059,40,italian,Uhlandstr. 153,10115,Berlin,52.4977,13.3246917,lieferando
56,Quang Loi,5.2,114,18.0,0.0,666,40,asian,Müllerstraße 157,10115,Berlin,52.5449058,13.3611985,lieferando
57,Hanoi St. 16,9.0,325,10.0,2.99,0,40,asian,Torfstraße 16,10115,Berlin,52.5415846,13.3507134,lieferando
58,Chelany - Mitte,8.4,385,10.0,0.0,1497,40,indian,Torstraße 221,10115,Berlin,52.5276532,13.38861,lieferando
59,Maison Viet Restaurant,10.0,1954,15.0,0.0,0,30,asian,Göhrener Straße 6,10115,Berlin,52.5416705,13.4210762,lieferando
60,Babo Sushi,8.6,5234,15.0,0.0,1095,40,asian,Warschauer Str. 61,10115,Berlin,52.5100106,13.4520069,lieferando
61,Meet Me Halfway,8.4,384,12.0,0.0,983,50,healthy,Zinnowitzer Straße 5,10115,Berlin,52.5319419,13.3832472,lieferando
62,Merelly Fine Sweets,8.0,40,21.0,0.0,0,60,italian,Müllerstraße 95,10115,Berlin,52.55984,13.33476,lieferando
63,Domino's Pizza,6.6,461,7.9,0.0,980,25,italian,Schumannstraße 19,10115,Berlin,52.5237082,13.3799029,lieferando
64,Harika Liferservice,9.2,571,25.0,0.0,974,40,middle eastern,Osloer Straße 84,10115,Berlin,52.5564036,13.3734523,lieferando
65,Toast & Hot Dog by Yale,7.0,231,10.0,0.0,784,35,american,Badstraße 57,10115,Berlin,52.5515156,13.3825706,lieferando
66,Mundo II Restaurant,7.6,120,25.0,1.0,0,55,american,Zimmerstraße 19,10115,Berlin,52.5075063,13.3895957,lieferando
67,Kreuzburger,8.4,11544,10.0,2.0,626,50,american,Ebertystraße 4,10115,Berlin,52.5265863,13.4510299,lieferando
68,Pommes Freunde,5.8,29,15.0,5.0,1038,75,american,Leipziger Platz 12,10115,Berlin,52.5102817,13.3792042,lieferando
69,Krishna - Indisches & Nepalesisches Restaurant,8.6,2762,20.0,0.0,1328,50,indian,Danziger Str. 20,10115,Berlin,52.5402371,13.4159314,lieferando
70,Vadoli Pizza Berlin Mitte,9.0,3647,12.5,1.9,887,30,italian,Oranienburger Strasse 13-14,10115,Berlin,52.5238316,13.3985704,lieferando
71,Falafelo Berlin,8.4,219,25.0,0.0,0,40,middle eastern,Mehringdamm 25,10115,Berlin,52.4939795,13.3888265,lieferando
72,Yesil Firin Holzofen Grill Restaurant,8.8,341,15.0,0.0,922,40,italian,Badstrasse 15,10115,Berlin,52.5511104,13.3842187,lieferando
73,Khatmandu Indisch und Nepalesisch Lieferservice,9.0,1467,22.0,0.5,1319,50,indian,Wegener Strasse 1,10115,Berlin,52.5522778,13.4667823,lieferando
74,"Tien Linh Khang Restaurant, Lieferservice & Events",8.4,378,13.0,0.0,731,30,asian,Pankstraße 42,10115,Berlin,52.5503645,13.3789175,lieferando
75,Exelans,8.0,1104,40.0,3.0,990,40,italian,Scharnweberstrasse 25,10115,Berlin,52.5649848,13.3252247,lieferando
76,La Piazza,9.4,571,12.0,1.9,822,45,italian,Zehdenicker Straße 20,10115,Berlin,52.5305831,13.4051561,lieferando
77,Riga's Pizza Box,7.6,9403,12.0,0.0,835,50,italian,Rigaer Straße 56,10115,Berlin,52.5148805,13.4738729,lieferando
78,Yöre Gözleme Ve Manti Evi,9.4,267,20.0,0.0,0,40,italian,Prinzenallee 7,10115,Berlin,52.5532352,13.3827525,lieferando
79,Escendo Pizzeria,9.2,448,15.0,0.0,0,30,italian,Gleimstraße 21,10115,Berlin,52.5472856,13.410501,lieferando
