,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
483,Viet Village,8.6,74,10.0,1.99,709,45,vegetarian or vegan,Rosenthaler Straße 50,10115,Berlin,52.5253433,13.4036946,lieferando
484,Curry Mitte,9.4,64,10.0,1.99,0,45,middle eastern,Torstraße 122,10115,Berlin,52.5294329,13.4013343,lieferando
485,Mayflower,8.8,604,10.0,2.99,1152,45,asian,Greifenhagener Straße 27,10115,Berlin,52.550958,13.4183842,lieferando
486,Thai Ha - New Generation,7.8,252,10.0,1.99,706,45,asian,Brunnenstr. 4,10115,Berlin,52.53063,13.40115,lieferando
487,Spoonful BERLIN,0.0,0,10.0,1.99,0,30,middle eastern,Auguststraße 63,10115,Berlin,52.527203,13.3971057,lieferando
488,Tommi's Burger Joint,6.6,405,10.0,1.99,946,45,american,Invalidenstraße 160,10115,Berlin,52.5323829,13.3976359,lieferando
489,Currystation 36,9.6,89,0.0,1.99,1100,45,indian,Otto-Suhr-Allee 36,10115,Berlin,52.5150921,13.3148693,lieferando
490,Blackbeards Berlin,8.6,731,10.0,2.99,1813,45,american,Pappelallee 55,10115,Berlin,52.5468921,13.418295,lieferando
491,Dunkin' Donuts,8.8,23,10.0,1.99,1540,45,breakfast/dessert,Unter den Linden 78,10115,Berlin,52.5169593,13.3803289,lieferando
492,Swing Kitchen,8.6,4,10.0,1.99,0,35,american,Georgenstraße 201,10115,Berlin,52.5200048,13.3894576,lieferando
493,Zweistrom,9.4,255,10.0,2.99,1197,45,vegetarian or vegan,Danziger Str. 18,10115,Berlin,52.5402963,13.4157417,lieferando
494,Bilakiss,8.8,157,10.0,2.99,818,45,vegetarian or vegan,Wicherstrasse/Schönhauser Allee 00,10115,Berlin,52.5505772,13.4144113,lieferando
495,Chay Long,8.8,206,10.0,2.99,890,45,middle eastern,Raumerstr. 17,10115,Berlin,52.5416147,13.4218312,lieferando
496,Kim999 Vietnamese Vegan & Veggie Cuisine,9.2,138,10.0,2.99,955,45,vegetarian or vegan,Mollstraße 31,10115,Berlin,52.5251392,13.4211115,lieferando
497,Crepestation,9.2,73,10.0,2.99,610,45,european,Pappelallee 58,10115,Berlin,52.54634,13.41763,lieferando
498,Addis Abeba Restaurant,8.4,38,0.0,1.99,1625,40,vegetarian or vegan,Kaiserin-Augusta-Allee 46,10115,Berlin,52.5259558,13.3078136,lieferando
499,ACTION Catering,9.6,9,0.0,1.99,0,50,vegetarian or vegan,Bismarckstraße 10-12,10115,Berlin,52.5123735,13.3164298,lieferando
500,Frühstück / Breakfast,8.2,6,10.0,1.99,0,40,breakfast/dessert,Torstraße 205,10115,Berlin,52.52798,13.39013,lieferando
501,Trattoria Fidelia,7.6,421,10.0,2.99,1002,50,italian,Lüneburger Straße 390,10115,Berlin,52.5195645,13.3557979,lieferando
502,Vincent-Burger,9.0,349,0.0,1.99,1078,35,american,Tauroggener Straße 9,10115,Berlin,52.5244922,13.3015707,lieferando
503,Restaurant Machiavelli,7.4,233,10.0,1.99,1304,45,italian,Albrechtstraße 13,10115,Berlin,52.5212258,13.3854785,lieferando
504,Österelli,9.0,342,0.0,1.99,1182,45,vegetarian or vegan,Bismarckstraße 6,10115,Berlin,52.5126677,13.3181727,lieferando
505,Asia Good Choice,8.6,42,0.0,1.99,717,35,asian,Max-Dohrn-Straße 5a,10115,Berlin,52.5310267,13.3009951,lieferando
506,THE PHO BAR - BERLIN,8.2,664,10.0,1.99,1009,45,asian,Rykesstraße 18,10115,Berlin,52.5371494,13.4214835,lieferando
507,Kanaan,8.0,49,10.0,2.99,0,50,vegetarian or vegan,Schliemannstraße 15,10115,Berlin,52.5436008,13.4201057,lieferando
508,Satyam Goethestraße,9.6,127,0.0,1.99,1123,45,vegetarian or vegan,Goethestrasse 5,10115,Berlin,52.5089819,13.3221641,lieferando
509,KUZO,8.0,17,10.0,2.99,0,35,asian,Prenzlauerallee 48,10115,Berlin,52.5372513,13.423466,lieferando
510,Gloria Empanadas,8.2,78,10.0,2.99,973,45,vegetarian or vegan,Danziger Straße 17,10115,Berlin,52.5407312,13.4156938,lieferando
511,Wiki Wiki Poke,0.0,0,10.0,1.99,0,40,middle eastern,Lininenstraße 130,10115,Berlin,52.527052,13.3888103,lieferando
512,Hängemate,9.6,31,0.0,1.99,750,45,vegetarian or vegan,Wilmersdorfer Straße 15,10115,Berlin,52.5159488,13.3040659,lieferando
513,Sun Day Burger,0.0,0,10.0,1.99,717,30,american,Bernauer Straße 63,10115,Berlin,52.5419243,13.4018956,lieferando
514,Pascarella,9.0,72,0.0,1.99,0,45,italian,Schlüterstraße 69,10115,Berlin,52.5078179,13.3180619,lieferando
515,Tiger Club Vegan Sushi,8.8,172,0.0,1.99,998,50,asian,Knesebeckstraße 99a,10115,Berlin,52.510059,13.3233782,lieferando
516,China Restaurant Holly,9.2,51,0.0,1.99,0,45,asian,Schustehrusstraße 3,10115,Berlin,52.5171669,13.3052716,lieferando
517,Manjurani,9.2,61,0.0,1.99,0,50,vegetarian or vegan,Knesebeckstraße 4,10115,Berlin,52.5101626,13.322411,lieferando
518,Chen's Wok,8.4,39,0.0,1.99,1223,45,asian,Otto-Suhr-Allee 11-13,10115,Berlin,52.51331,13.3186599,lieferando
519,Andy's Diner and Bar,0.0,0,10.0,1.99,1038,15,american,Karl-Liebknecht-Straße 5,10115,Berlin,52.5201491,13.403742,lieferando
520,Rosenburger Berlin,8.8,647,10.0,1.99,958,45,american,Brunnenstraße 196,10115,Berlin,52.5300812,13.4006739,lieferando
521,it's berlin,7.4,66,0.0,1.99,1000,50,middle eastern,Kurfürstendamm 237,10115,Berlin,52.5041413,13.334835,lieferando
522,Tor Kebab,9.2,552,10.0,1.99,796,45,middle eastern,Torstraße 129,10115,Berlin,52.5297377,13.4005533,lieferando
523,Salt n Bone,0.0,0,10.0,2.99,0,30,american,Schliemannstraße 31,10115,Berlin,52.5441314,13.4198439,lieferando
524,Spar Express,0.0,0,10.0,2.99,0,30,,Alexanderplatz DZL,10115,Berlin,52.5219814,13.413306,lieferando
525,Masel Topf,0.0,0,10.0,1.99,0,30,middle eastern,Rykestraße 2,10115,Berlin,52.5348099,13.4194986,lieferando
526,Frische Quarkbällchen,0.0,0,10.0,2.99,0,30,breakfast/dessert,Prenzlauer Allee 180,10115,Berlin,52.5440105,13.426589,lieferando
527,Moodbowl,0.0,0,10.0,0.0,788,30,,Horst-Kohl-Straße 10,10115,Berlin,52.46132,13.34434,lieferando
528,Cyclo,0.0,0,10.0,1.99,0,35,vegetarian or vegan,Propststraße 1,10115,Berlin,52.5172861,13.4073437,lieferando
529,Himalaya,9.2,563,0.0,1.99,982,45,vegetarian or vegan,Thrasoltstraße 12,10115,Berlin,52.5149369,13.305131,lieferando
530,Sucre et Sel,7.6,215,10.0,1.99,3094,45,steak,Torstraße 132,10115,Berlin,52.5294179,13.4000347,lieferando
531,Seoul Garden,8.6,99,0.0,1.99,1125,45,asian,Knesebeckstraße 16,10115,Berlin,52.5081637,13.322457,lieferando
532,Amoag Sudanische Spezialitäten,8.8,50,0.0,1.99,0,45,african,Wilmersdorfer Str. 152a,10115,Berlin,52.514545,13.3050479,lieferando
533,Wilhelm Hoeck,9.0,241,0.0,1.99,1343,45,european,Wilmersdorfer Straße 149,10115,Berlin,52.5139384,13.3055172,lieferando
534,Thai Aroma,9.6,325,10.0,2.99,1118,50,vegetarian or vegan,Dunckerstraße 18,10115,Berlin,52.5435148,13.4220215,lieferando
535,Yumcha Heroes,8.6,631,10.0,1.99,815,45,asian,Weinbergsweg 8,10115,Berlin,52.531083,13.402662,lieferando
536,Dunkin' Donuts,8.0,30,10.0,1.99,1540,45,breakfast/dessert,Friedrichstraße -,10115,Berlin,52.5173586,13.3887787,lieferando
537,WILD & RAW Poké Bowls,8.6,537,10.0,1.99,1372,45,vegetarian or vegan,Weinbergsweg 5,10115,Berlin,52.5307281,13.402446,lieferando
538,Wrapublic,8.8,22,10.0,1.99,0,45,middle eastern,Torstraße 118,10115,Berlin,52.5295128,13.4021367,lieferando
539,Mamma Monti,8.8,27,0.0,1.99,1263,45,italian,Carmerstraße 11,10115,Berlin,52.5068596,13.3240616,lieferando
540,Dunkin' Donuts,9.2,139,10.0,2.99,1540,45,breakfast/dessert,Badstraße 4,10115,Berlin,52.549678,13.3879516,lieferando
541,KUCHI Mitte,8.2,846,10.0,1.99,1310,45,asian,Gipsstr. 3,10115,Berlin (Mitte),52.5271845,13.3993081,lieferando
542,Ashoka,9.0,79,0.0,1.99,1058,45,indian,Grolmanstraße 51,10115,Berlin,52.5070522,13.3217914,lieferando
543,Restaurant Thanh Long,9.2,58,0.0,1.99,967,50,asian,Pestalozzistraße 106,10115,Berlin,52.5072796,13.320735,lieferando
544,Do-Long,8.8,30,0.0,1.99,1100,45,asian,Wilmersdorfer Straße 29/30,10115,Berlin,52.51326,13.3046999,lieferando
545,Swing Kitchen,8.8,216,10.0,1.99,654,45,american,Rosenthaler Str. 63 - 64,10115,Berlin,52.5279311,13.4030377,lieferando
546,Starbucks,9.0,72,0.0,0.0,599,45,cafes,Joachimsthaler Straße 3,10115,Berlin,52.5057782,13.3316109,lieferando
547,Bonjour Ha Noi,5.4,3,10.0,1.99,0,45,asian,Sophienstraße 10,10115,Berlin,52.5250866,13.4025245,lieferando
548,Falafel,9.4,264,0.0,1.99,830,45,vegetarian or vegan,Wilmersdorferstraße 32,10115,Berlin,52.5126674,13.3047779,lieferando
549,Orient Station,8.4,125,10.0,2.99,757,40,middle eastern,U-Bahnhof Leopoldplatz 000,10115,Berlin,52.5462965,13.359002,lieferando
550,Viet Phuong,7.6,40,0.0,1.99,874,45,asian,Richard-Wagner-Straße 37,10115,Berlin,52.5153434,13.3058432,lieferando
551,Ben & Jerry's und Magnum,6.2,15,10.0,2.99,1202,45,breakfast/dessert,Danziger Straße 17,10115,Berlin,52.5407312,13.4156938,lieferando
552,Mangiare and Go,10.0,18,10.0,2.99,1020,50,italian,Rykestraße 11,10115,Berlin,52.5362018,13.4206822,lieferando
553,Don Giovanni Ristorante,8.0,21,0.0,1.99,1263,45,italian,Bismarckstraße 28,10115,Berlin,52.5121547,13.3113159,lieferando
554,Burgermeister Zoo,8.0,946,0.0,1.99,674,45,american,Joachimsthaler Straße 2,10115,Berlin,52.5058884,13.3318669,lieferando
555,Momiji,8.6,76,0.0,1.99,1299,50,asian,Bleibtreustraße 52,10115,Berlin,52.5066374,13.3204109,lieferando
556,Gangnam,9.2,28,10.0,2.99,0,40,asian,Nazarethkirchstraße 45,10115,Berlin,52.5490357,13.3605297,lieferando
557,Hachiko Ramen,8.4,382,0.0,1.99,869,50,asian,Kantstraße 140,10115,Berlin,52.505789,13.3189097,lieferando
558,Sole d'Oro CUCINA ITALIANA,7.6,146,0.0,1.99,1335,45,italian,Wilmersdorfer Straße 153,10115,Berlin,52.5149931,13.3049183,lieferando
559,Esszimmer,8.4,95,10.0,1.99,1560,40,european,Scharnhorststraße 28-29,10115,Berlin,52.5335588,13.3709693,lieferando
560,La Cantina Berlin,7.8,58,10.0,1.99,0,50,italian,Torstraße 124,10115,Berlin,52.5294617,13.4008872,lieferando
561,PHO NGUYEN 68,8.6,154,0.0,1.99,980,50,asian,Savignyplatz 11,10115,Berlin,52.505597,13.3213495,lieferando
562,Mauer Kebab,8.4,9,10.0,1.99,0,35,american,Eberswalder Straße 4,10115,Berlin,52.5406817,13.4059052,lieferando
563,Espresso House,8.6,25,10.0,1.99,913,50,cafes,Karl-Liebknecht-Straße 5,10115,Berlin,52.5200548,13.4037379,lieferando
564,Coco Banh Mi Deli,8.2,147,10.0,1.99,721,45,asian,Rosenthaler Straße 2,10115,Berlin,52.5292062,13.4014265,lieferando
565,Safrani Afghan & Persian Restaurant,9.4,281,0.0,1.99,1198,45,cafes,Wilmersdorfer Str. 129,10115,Berlin,52.5103186,13.3058336,lieferando
566,Peter Pane,9.0,288,0.0,1.99,1183,45,american,Rankestraße 75,10115,Berlin,52.5040228,13.3353519,lieferando
567,Tao Yuan Noodle House,8.4,181,0.0,1.99,940,45,asian,Wilmersdorfer Straße 26,10115,Berlin,52.51397,13.30458,lieferando
568,Thomas Eck Berlin,9.2,352,0.0,1.99,0,50,european,Pestalozzistraße 25,10115,Berlin,52.5079733,13.3088545,lieferando
569,Burgermeister Eberswalder,7.6,2853,10.0,1.99,674,45,american,Schönhauser Allee 45,10115,Berlin,52.5408573,13.4125605,lieferando
570,HÜNER,9.4,32,0.0,1.99,866,45,american,Wilmersdorfer Straße 43,10115,Berlin,52.5104307,13.3052179,lieferando
571,O'Tacos,0.0,0,10.0,1.99,0,35,middle eastern,Badstraße 4,10115,Berlin,52.5499307,13.3897161,lieferando
572,Ming Dynastie,8.6,483,10.0,2.99,2694,45,asian,Brückenstraße 6,10115,Berlin,52.5134234,13.4181172,lieferando
573,Burgers Berlin,8.8,871,0.0,1.99,765,50,american,Pestalozzistraße 25,10115,Berlin,52.5079733,13.3088545,lieferando
574,Crispy Döner,8.4,10,0.0,1.99,0,40,middle eastern,Richard-Wagner-Straße 1-3,10115,Berlin,52.5120532,13.3072877,lieferando
575,Gap Döner Gemüse Kebap,8.0,16,0.0,1.99,0,45,vegetarian or vegan,Leibnizstr. 25,10115,Berlin,52.50909,13.3146,lieferando
576,By Ali,9.2,170,0.0,1.99,800,50,middle eastern,Kantstraße 38,10115,Berlin,52.5064267,13.3146673,lieferando
577,Jules Verne,8.6,98,0.0,1.99,0,45,italian,Schlüterstr. 61,10115,Berlin,52.50555,13.3179,lieferando
578,Der blaue Fuchs,8.8,29,10.0,2.99,3529,50,middle eastern,Knaackstraße 43,10115,Berlin,52.5358917,13.4162625,lieferando
579,Neapizza 1889,9.0,148,10.0,1.99,0,45,italian,Chausseestraße 49,10115,Berlin,52.5352264,13.377693,lieferando
580,Chili or Chili,8.6,10,0.0,1.99,0,40,vegetarian or vegan,Leibnizstraße 70B,10115,Berlin,52.50654,13.3136,lieferando
581,Anh Dao - Indochinesische Spezialitäten,9.0,469,10.0,2.99,786,50,asian,Danziger Straße 42,10115,Berlin,52.53964,13.41902,lieferando
582,Suksan,9.0,26,0.0,1.99,1419,45,vegetarian or vegan,Ansbacher Straße 4,10115,Berlin,52.5042882,13.3424363,lieferando
583,Katsudo,9.2,18,0.0,1.99,0,45,asian,Goethestraße 37/38,10115,Berlin,52.5091,13.30694,lieferando
584,Marina Blu,7.8,171,10.0,1.99,1656,45,italian,Zehdenicker Str. 13,10115,Berlin,52.5312833,13.4029902,lieferando
585,Falafel Salam,8.8,24,0.0,1.99,858,50,middle eastern,Rankestraße 3,10115,Berlin,52.5034446,13.3342516,lieferando
586,immergrün,9.4,311,10.0,2.99,704,45,middle eastern,Schönhauser Allee 80,10115,Berlin,52.5494582,13.4157815,lieferando
587,Ali Baba,8.6,56,10.0,2.99,0,45,italian,Danziger Str. 2,10115,Berlin,52.5408394,13.4127283,lieferando
588,Jim Block,8.4,118,0.0,1.99,988,50,american,Budapester Straße 42-50,10115,Berlin,52.5053703,13.3370988,lieferando
589,Saaky,9.2,86,10.0,2.99,853,45,middle eastern,Gleimstraße 37-38,10115,Berlin,52.5477945,13.4108735,lieferando
590,Nem & More,8.8,88,10.0,2.99,1092,50,asian,Brückenstraße 3,10115,Berlin,52.5120952,13.4171985,lieferando
591,CÀI Kitchen Berlin - Szechuan Vegan Bistro,8.8,23,10.0,1.99,0,45,asian,Schönhauser Allee 177A,10115,Berlin,52.5313228,13.4116342,lieferando
592,Flying Monkey,5.4,3,10.0,1.99,0,30,vegetarian or vegan,Kastanienallee 15,10115,Berlin,52.5388502,13.4096568,lieferando
593,Akito Sushi Express,8.4,14,10.0,1.99,0,30,asian,Chausseestraße 116,10115,Berlin,52.5300273,13.3834134,lieferando
594,Green Flavor,8.4,163,0.0,1.99,1085,45,asian,Kantstraße 22,10115,Berlin,52.5062679,13.3210078,lieferando
595,Sons of Mana,8.4,41,0.0,1.99,1129,45,vegetarian or vegan,Budapester Str. 38,10115,Berlin,52.505429,13.3382338,lieferando
596,La Femme Charlottenburg,7.6,67,0.0,1.99,813,45,middle eastern,Wilmersdorfer Str 135,10115,Berlin,52.5112341,13.3056113,lieferando
597,Nikkei 25,8.2,22,0.0,1.99,0,45,asian,Kantstraße 25,10115,Berlin,52.5061818,13.3196974,lieferando
598,Guten Dag,7.8,558,10.0,2.99,1331,45,fastfood,Schönhauser Allee 71-72,10115,Berlin,52.548068,13.4143984,lieferando
599,Due Fratelli,7.2,24,10.0,1.99,0,45,italian,Chausseestraße 131A,10115,Berlin,52.5273175,13.3865372,lieferando
600,Tacoriño,7.2,57,0.0,1.99,0,45,mexican,Knesebeckstraße 18,10115,Berlin,52.5076855,13.3223735,lieferando
601,Marea,7.6,20,10.0,2.99,1172,60,italian,Leipziger Platz 10,10115,Berlin,52.5091847,13.3798834,lieferando
602,Kamps Bäckerei mit Backstube,7.4,22,0.0,1.99,0,45,italian,Hardenbergplatz 9-11,10115,Berlin,52.506562,13.3324952,lieferando
603,Mogg,8.6,39,10.0,1.99,1425,45,american,Auguststraße 11-13,10115,Berlin,52.52649,13.39444,lieferando
604,Kartoffelkiste,8.2,278,0.0,1.99,1232,45,european,Tauentzienstraße 9,10115,Berlin,52.504083,13.3386575,lieferando
605,La Premiata in Berlin since 2020,7.4,4,10.0,1.99,0,45,italian,Weinbergsweg 4,10115,Berlin,52.5307021,13.4023004,lieferando
606,Burgerwood,8.6,21,10.0,1.99,779,45,american,Reinhardtstraße 47,10115,Berlin,52.5222342,13.3782894,lieferando
607,AKEMI-Asian soul kitchen,8.4,202,10.0,2.99,1280,45,asian,Rykestraße 39,10115,Berlin,52.5375391,13.4210676,lieferando
608,Lecker Song,8.0,85,10.0,2.99,0,50,middle eastern,Schliemannstraße 19,10115,Berlin,52.5441514,13.420393,lieferando
609,O Der Burger Berlin,8.0,156,10.0,1.99,625,45,american,Oderberger Straße 30,10115,Berlin,52.54045,13.40539,lieferando
610,American Ice-Cream,9.4,47,10.0,1.99,0,30,american,"Gerichtstraße 12-13 ( Gewerbehof, Aufgang 6) 12-13",10115,Berlin,52.54353,13.37586,lieferando
611,Upper Burger Grill,8.0,505,0.0,1.99,940,45,american,Rankestr. 3,10115,Berlin,52.5034446,13.3342516,lieferando
612,Restaurant Girasol,7.8,53,10.0,2.99,0,45,vegetarian or vegan,Raumerstraße 30,10115,Berlin,52.54167,13.42343,lieferando
613,Schäfer's,9.0,5,10.0,1.99,0,35,fastfood,Luisenstraße 46,10115,Berlin,52.5234098,13.3798674,lieferando
614,Restaurant La Vong,7.8,151,10.0,2.99,1048,45,asian,Stargarder Straße 65-66,10115,Berlin,52.54486,13.422128,lieferando
615,Mammam Mitte,8.2,80,10.0,2.99,700,45,middle eastern,Inselstraße 8,10115,Berlin,52.5126262,13.4117522,lieferando
616,Orlando,8.0,34,10.0,2.99,1892,50,vegetarian or vegan,Rhinower Straße 10,10115,Berlin,52.5482351,13.4083369,lieferando
617,Oishinbo Izakaya,8.4,228,10.0,1.99,1436,45,asian,Lychener Straße 46,10115,Berlin,52.5440718,13.4182039,lieferando
618,+84 Asian Deli & Vegan Kitchen,8.4,625,10.0,1.99,806,45,vegetarian or vegan,Habersaathstraße 52,10115,Berlin,52.5323803,13.3795536,lieferando
619,Kamala,8.0,29,10.0,1.99,1289,45,vegetarian or vegan,Oranienburger Straße 69,10115,Berlin,52.5248421,13.3925536,lieferando
620,Pizza Peppino,8.2,8,10.0,1.99,0,50,italian,Tucholskystraße 13,10115,Berlin,52.5245208,13.3923952,lieferando
621,Italofritzen,6.8,101,10.0,1.99,1111,45,italian,Friedrichstr. 105,10115,Berlin,52.5227282,13.3881445,lieferando
622,Rotes Kamel,8.8,63,10.0,2.99,1561,40,middle eastern,Hannah-Arendt-Straße 4,10115,Berlin,52.5140041,13.3811706,lieferando
623,Gaststätte Sophieneck,8.8,73,10.0,1.99,1375,45,european,Große Hamburger Straße 37,10115,Berlin,52.526368,13.3986636,lieferando
624,ComCha Vegan,0.0,0,10.0,1.99,0,40,middle eastern,Dresdener Straße 15 rechts,10115,Berlin,52.5010183,13.4172291,lieferando
625,Zaddy's by Kaplan Döner,6.0,177,0.0,1.99,843,45,vegetarian or vegan,Joachimsthaler Straße 3,10115,Berlin,52.5057779,13.3316031,lieferando
626,Co Chu Vietnam Gourmet Berlin,8.6,191,10.0,1.99,882,45,asian,Invalidenstraße 29,10115,Berlin,52.5312198,13.3844848,lieferando
627,CouCou Café & Deli,8.2,27,10.0,1.99,650,45,vegetarian or vegan,Reinhardtstr. 37,10115,Berlin,52.5225168,13.3802741,lieferando
628,Ristorante DaVinci,7.2,88,10.0,1.99,1207,45,italian,Georgenstraße 192,10115,Berlin,52.5201661,13.391311,lieferando
629,Espresso House,8.4,23,10.0,1.99,1045,45,cafes,Chausseestraße 22,10115,Berlin,52.5308182,13.3830087,lieferando
630,Dunkin' Donuts,8.2,80,10.0,2.99,1540,45,breakfast/dessert,Alexanderplatz 16,10115,Berlin,52.5212352,13.4146338,lieferando
631,Subway,6.4,351,10.0,2.99,752,45,healthy,Schönhauser Allee 79/80,10115,Berlin,52.5494582,13.4157815,lieferando
632,Chimneys,7.8,74,10.0,1.99,761,45,middle eastern,Brunnenstraße 173,10115,Berlin,52.5328856,13.3984218,lieferando
633,Aki Tatsu,8.6,213,10.0,1.99,1191,45,asian,Torstraße 176,10115,Berlin,52.52854,13.3946,lieferando
634,El-Rief Orientalische - Arabische Küche,9.6,818,10.0,2.99,691,45,cafes,Schönhauser Allee 46a,10115,Berlin,52.54182,13.41262,lieferando
635,Burger World Berlin,7.8,317,10.0,1.99,1023,45,american,Oderbergerstrasse 16,10115,Berlin,52.5393494,13.4082694,lieferando
636,Sons of Mana Mitte,7.8,65,10.0,1.99,1139,45,asian,Chausseestraße 19,10115,Berlin,52.5302259,13.3840856,lieferando
637,Arata- Sushi & More,8.6,372,10.0,1.99,1379,45,asian,Torstr. 223,10115,Berlin,52.5276848,13.3883396,lieferando
638,Papaya Restaurant,7.4,5,10.0,1.99,0,45,asian,Luisenstraße 49,10115,Berlin,52.524083,13.3795816,lieferando
639,Mr. Vertigo fine food,8.2,153,10.0,1.99,800,45,american,Chausseestr. 17,10115,Berlin,52.5300207,13.3844244,lieferando
640,"Fitery - Healthy, Fitness & Sport Food",9.4,114,10.0,2.99,0,45,vegetarian or vegan,Gleimstraße 27,10115,Berlin,52.5472438,13.4119944,lieferando
641,Bookmyholiday Reisecafe,8.8,11,10.0,2.99,800,45,,Schönhauser Allee 105,10115,Berlin,52.5525284,13.4138555,lieferando
642,Pizzeria Marienkäfer,7.8,782,10.0,1.99,1465,45,italian,Marienstr. 18,10115,Berlin,52.5223585,13.3840483,lieferando
643,Carambar,7.4,5,10.0,2.99,854,50,american,Rathausstraße 1,10115,Berlin,52.5202511,13.4121323,lieferando
644,Rolls Asian Street Food,9.4,39,10.0,2.99,800,50,middle eastern,Prenzlauer Allee 176,10115,Berlin,52.5456284,13.4273507,lieferando
645,Karaca - fresh food & delicious coffee,6.8,16,10.0,1.99,871,45,cafes,Chausseestraße 106,10115,Berlin,52.5316655,13.3813325,lieferando
646,Core - Korean Cuisine,9.8,159,10.0,2.99,1137,45,asian,Pappelallee 84,10115,Berlin,52.54246,13.4134,lieferando
647,Reisfreude,9.8,138,10.0,2.99,775,45,vegetarian or vegan,Brückenstraße 1c,10115,Berlin,52.5119113,13.4171379,lieferando
648,Baffels Café and More,9.4,21,10.0,1.99,770,45,american,Gartenstraße 92,10115,Berlin,52.5320547,13.3890695,lieferando
649,Subway,7.2,745,10.0,1.99,796,45,healthy,Chausseestraße 22,10115,Berlin,52.5308182,13.3830087,lieferando
650,Mozzarella & Pomodoro,8.6,57,10.0,1.99,0,45,italian,Torstraße 97,10115,Berlin,52.5299192,13.4044967,lieferando
651,Kiraku,9.0,23,10.0,1.99,0,50,asian,Litfaßplatz 1,10115,Berlin,52.5219449,13.4036132,lieferando
652,Mami Restaurant,9.0,881,10.0,2.99,1021,45,vegetarian or vegan,Erich-Weinert-Straße 1,10115,Berlin,52.5522044,13.4147039,lieferando
653,Viet Nam & Sushi Bar,8.6,659,10.0,2.99,1121,50,asian,Prenzlauer Allee 43,10115,Berlin,52.53611,13.42284,lieferando
654,Amrit Potsdamer Platz,7.6,140,10.0,2.99,0,45,vegetarian or vegan,Ebertstraße 14,10115,Berlin,52.5105,13.37717,lieferando
655,momos - organic veggie dumplings,7.8,371,10.0,1.99,1315,45,vegetarian or vegan,Chausseestrasse 2,10115,Berlin,52.5276015,13.3870146,lieferando
656,dean & david,8.6,988,10.0,2.99,1088,45,vegetarian or vegan,Schönhauser Allee 80,10115,Berlin,52.5494582,13.4157815,lieferando
657,Dunkin' Donuts,7.0,72,10.0,2.99,1540,50,breakfast/dessert,Rathausstraße 5,10115,Berlin,52.5188741,13.4109173,lieferando
658,PHO - Noodlebar,8.0,783,10.0,1.99,905,45,asian,Linienstraße 134,10115,Berlin,52.5264349,13.387848,lieferando
659,DINER 67,8.8,16,10.0,2.99,774,50,italian,Markgrafenstraße 67,10115,Berlin,52.50582,13.39388,lieferando
660,Subway,8.4,283,10.0,1.99,777,45,cafes,Friedrichstraße 114,10115,Berlin,52.5265278,13.3874635,lieferando
661,Datscha,8.8,174,10.0,2.99,1238,45,vegetarian or vegan,Stargarder Straße 24,10115,Berlin,52.54494,13.42141,lieferando
662,OBOK,9.4,48,10.0,2.99,0,45,asian,Dunckerstraße 30,10115,Berlin,52.5472304,13.42525,lieferando
663,Lemon Grass Scent,8.6,334,10.0,1.99,850,45,asian,Schwedter Straße 12,10115,Berlin,52.5338676,13.4098053,lieferando
664,Noodle Plus,7.6,23,10.0,2.99,0,40,asian,Hannah-Arendt-Straße 1,10115,Berlin,52.5136773,13.3814525,lieferando
665,Steinofen-Pizza to Go,9.0,104,10.0,2.99,877,45,italian,Schönhauser Allee 123,10115,Berlin,52.5479739,13.4129349,lieferando
666,Minty 2,8.6,120,10.0,2.99,1068,45,asian,Stargarder Strasse 22,10115,Berlin,52.5452764,13.4205912,lieferando
667,Esra Falafel,8.2,184,10.0,1.99,792,50,middle eastern,Rosa-Luxemburg-Str. 5,10115,Berlin,52.523637,13.409156,lieferando
668,Falafel Aladdin,9.0,115,10.0,2.99,885,60,middle eastern,Stargader Straße 50,10115,Berlin,52.5440773,13.4243518,lieferando
669,Street Kitchen - Authentic Asian Food,9.2,76,10.0,2.99,715,45,vegetarian or vegan,Schönhauser Allee 80,10115,Berlin,52.5494582,13.4157815,lieferando
670,Ryong,9.2,145,10.0,1.99,938,45,vegetarian or vegan,Torstrasse 59,10115,Berlin,52.529074,13.4089876,lieferando
671,Yummy Mummy,9.2,123,10.0,2.99,891,45,vegetarian or vegan,Raumerstraße 12,10115,Berlin,52.54205,13.4191,lieferando
672,Cafe Pirouette,9.2,20,10.0,1.99,1218,50,american,Saarbrücker Straße 17,10115,Berlin,52.5312128,13.4127069,lieferando
673,Yokozuna Sushi,9.2,165,10.0,1.99,1518,45,asian,Torstraße 41,10115,Berlin,52.5287116,13.4112831,lieferando
674,An's Tea House,8.6,30,10.0,1.99,600,50,breakfast/dessert,Torstraße 41,10115,Berlin,52.5287116,13.4112831,lieferando
675,La Criolla Empanadas,9.4,84,10.0,2.99,1500,50,south american,Marienburger Straße 9,10115,Berlin,52.5345758,13.4244752,lieferando
676,Best Friends,8.0,687,10.0,2.99,1106,45,asian,Gleimstraße 10,10115,Berlin,52.5468717,13.405873,lieferando
677,Little Green Rabbit,9.4,27,10.0,1.99,917,45,vegetarian or vegan,Unter den Linden 21,10115,Berlin,52.5166207,13.3897757,lieferando
