restaurant_name,platform,reviews,avg_review_score,street,zip_code,city,latitude,longitude,type_of_cuisine,avg_delivery_time,pricyness,delivery_fee,minimum_order_value
Wienerwald,lieferando,1904,4.4,Lehniner Platz 2,14199,Berlin,52.4996181,13.3019201,"['burgers_541', 'schnitzel_1654', 'chicken_521']",30,940,0,2000
Elias Gyrosland,lieferando,499,4.6,Bismarckstraße Ecke Steglitzer,14199,Berlin,52.451118,13.3380066,"['greek_91', 'gyros_1356', 'snacks_201']",40,760,190,1500
Saki Sushi,lieferando,595,4.8,Rubensstraße 122,14199,Berlin,52.46349,13.3442201,"['sushi_51', 'japanese_551', 'asian_1864']",35,1441,0,1999
ComCha Vegan,lieferando,0,0.0,Dresdener Straße 15 rechts,14199,Berlin,52.5010183,13.4172291,"['falafel_1215', 'vietnamese_261', 'spanish-and-tapas_11']",45,0,199,0
One Dio Pizza,lieferando,401,4.4,Bundesallee 142,14199,Berlin,52.4770969,13.3289417,"['italian-pizza_271', 'italian_21', 'snacks_201']",25,1086,0,1490
Ristorante Porta Nova,lieferando,58,3.7,Robert-Koch-Platz 12,14199,Berlin,52.5284163,13.3789203,"['italian-pizza_271', 'vegetarian_391', 'pasta_1614']",40,1351,199,0
Mr. Imbiss,lieferando,437,4.6,Schützenstraße 2,14199,Berlin,52.5085963,13.390391,"['burgers_541', 'falafel_1215', 'snacks_201']",40,956,199,0
Sajour,lieferando,14,4.9,Westfälische Strasse 39,14199,Berlin,52.49641,13.29471,"['pasta_1614', 'salads_1456', 'soup_1406']",30,1126,299,1000
Ninhao China Restaurant,lieferando,64,4.9,Bismarckstraße 24,14199,Berlin,52.5122708,13.3120233,"['chinese_41', 'vegetarian_391', 'asian_1864']",35,1175,100,1500
Terraverde Landkost aus Sizilien,lieferando,4,5.0,Handjerystraße 48,14199,Berlin,52.4693684,13.330174,['pasta_1614'],30,800,0,3500
Haci Baba Kebaphaus,lieferando,421,3.5,Adalbertstraße 89,14199,Berlin,52.50163,13.4192844,"['doener_821', 'turkish_31', '100-halal_921']",50,777,199,0
Prinz Bistro,lieferando,7,4.7,Askanischer Platz 2,14199,Berlin,52.50468,13.38084,"['burgers_541', 'falafel_1215', 'salads_1456']",45,0,199,0
LvL - world of gaming,lieferando,5,4.5,Friedrichstraße 50 - 55,14199,Berlin,52.5090533,13.3903693,['burgers_541'],40,857,199,0
Hanoi's Corner,lieferando,2689,4.7,Leibnizstr. 56,14199,Berlin,52.5016990,13.3132069,"['sushi_51', 'vietnamese_261']",65,910,0,2500
Andy's Diner and Bar,lieferando,0,0.0,Karl-Liebknecht-Straße 5,14199,Berlin,52.5201491,13.403742,"['burgers_541', 'american_381', 'snacks_201']",15,1038,199,0
Samos - Berlin,lieferando,373,4.5,Leibnizstraße 56,14199,Berlin,52.5017588,13.3128321,"['greek_91', 'gyros_1356', 'pork_1436']",30,1123,150,3000
Dunkin' Donuts,lieferando,59,3.7,Potsdamer Straße 2,14199,Berlin,52.5095362,13.3746744,"['desserts_954', 'cake_251']",40,1540,199,0
Asiagourmet,lieferando,22,4.2,Europaplatz 1,14199,Berlin,52.5249111,13.369492,"['asian_1864', 'snacks_201', 'poke-bowl_2318']",35,947,199,0
Soli'Snacks,lieferando,72,4.6,U-Bhf. Fehrbelliner Platz -,14199,Berlin,52.490421,13.314223,"['burgers_541', 'mexican_221', 'sandwiches_671']",30,0,0,1500
Alt-Berliner Gasthaus Julchen Hoppe,lieferando,1041,4.4,Rathausstraße 25,14199,Berlin,52.5172448,13.4048056,"['vegetarian_391', 'german_431', 'fish_421']",40,1239,199,0
Akiko Sushi,lieferando,3926,4.3,Ahornstr. 32,14199,Berlin,52.4604140,13.3233083,['sushi_51'],60,1072,0,2500
Dunkin' Donuts,lieferando,23,4.4,Unter den Linden 78,14199,Berlin,52.5169593,13.3803289,"['desserts_954', 'cake_251']",45,1540,199,0
Quan Vuon,lieferando,166,4.5,Am Stichkanal 1-11,14199,Berlin,52.4105056,13.2825611,['vietnamese_261'],30,650,200,5000
Kretamos,lieferando,221,4.6,Gardeschützenweg 68,14199,Berlin,52.4467987,13.3063914,"['greek_91', 'fish_421', 'pork_1436']",40,0,0,2500
Oh My Bap,lieferando,106,4.7,U-Bahnhof Thielplatz ,14199,Berlin,52.45211,13.28332,"['falafel_1215', 'chicken_231', 'korean_1114']",35,0,299,1000
Restaurant Gül,lieferando,287,4.6,Krumme Straße 55,14199,Berlin,52.5070012,13.3096337,"['vegetarian_391', 'turkish_31', 'fish_421']",40,1141,200,4000
Marea,lieferando,20,3.8,Leipziger Platz 10,14199,Berlin,52.5091847,13.3798834,"['italian-pizza_271', 'italian_21']",45,1172,199,0
Spoonful BERLIN,lieferando,0,0.0,Graefestraße 7,14199,Berlin,52.4946006,13.4186228,"['falafel_1215', 'desserts_954', 'ice-cream_1194']",30,0,199,0
Restaurant Poseidon,lieferando,75,4.6,Fritz-Wildung-Straße 7A,14199,Berlin,52.4858339,13.3011456,"['salads_1456', 'balkan_301', 'chicken_521']",15,942,0,2000
Vinakitchen,lieferando,607,4.5,Königin-Elisabeth-Straße 60,14199,Berlin,52.5178972,13.2807399,"['asian_1864', 'vietnamese_261', 'chicken_521']",40,777,0,2000
Ristorante Rapallo,lieferando,107,4.7,Kurfürstendamm 111,14199,Berlin,52.4976002,13.2918442,"['italian-pizza_271', 'italian_21', 'pasta_1614']",30,1390,100,1400
Caosis Cafe,lieferando,18,4.7,Wilmersdorfer Straße 100,14199,Berlin,52.50276,13.30816,"['salads_1456', 'lunch_351', 'poke-bowl_2318']",35,1005,299,1000
Tampico Bowls,lieferando,74,4.4,Rheinstraße 11,14199,Berlin,52.4701714,13.3334254,"['italian-pizza_271', 'indian_71', 'mexican_221']",30,0,100,1200
Seoul-Kwan,lieferando,320,4.5,Schmiljanstraße 25,14199,Berlin,52.47068,13.33059,"['asian_1864', 'desserts_954', 'korean_1114']",35,1036,299,1000
Al Bacio,lieferando,32,4.7,Joachim-Friedrich-Straße 1,14199,Berlin,52.4933207,13.2959092,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,846,199,1000
Sushi Orchidee,lieferando,2070,4.5,Stuttgarter Platz 13,14199,Berlin,52.5054934,13.3026428,"['sushi_51', 'chinese_41', 'thai_61']",30,1115,0,3000
Pizza Hut,lieferando,384,3.9,Potsdamer Platz 1,14199,Berlin,52.508923,13.3748658,"['italian-pizza_271', 'pasta_1614', 'american-pizza_281']",40,1655,199,0
Balli Döner & Burger,lieferando,1964,3.7,Wilmersdorfer Straße 130,14199,Berlin,52.510464,13.3057622,"['burgers_541', 'doener_821', '100-halal_921']",40,881,0,1200
The Fresh Seeds,lieferando,301,4.0,Invalidenstraße 90,14199,Berlin,52.5284615,13.3765659,"['mexican_221', 'salads_1456', 'poke-bowl_2318']",40,874,199,0
Paulaner Wirtshaus,lieferando,29,3.9,Alte Potsdamer Straße 1,14199,Berlin,52.508671,13.3753261,"['german_431', 'salads_1456', 'snacks_201']",40,993,199,0
Pizzeria und Bistro Tasty Berlin,lieferando,9,4.3,Rungestraße 14,14199,Berlin,52.5122717,13.4182962,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",50,0,199,0
Mirami,lieferando,220,4.5,Stresemannstraße 48-52,14199,Berlin,52.5017767,13.3862946,"['sushi_51', 'asian_1864', 'vietnamese_261']",45,1289,199,0
arko,lieferando,0,0.0,Europaplatz 1,14199,Berlin,52.5249111,13.369492,['desserts_954'],30,786,199,0
Dalbhat,lieferando,78,4.7,Mainzerstraße 8,14199,Berlin,52.4797158,13.3249822,"['vegetarian_391', 'curry_731', 'dumplings_1814']",40,819,299,1000
Insel Café & Back & Kiosk,lieferando,10,3.8,Gotenstraße 19,14199,Berlin,52.48096,13.3599993,"['snacks_201', 'baked-goods_2468', 'breakfast_361']",35,0,199,0
Reisfreude,lieferando,138,4.9,Brückenstraße 1c,14199,Berlin,52.5119113,13.4171379,"['vegetarian_391', 'italian_21', 'salads_1456']",40,775,199,0
Eierschale,lieferando,81,4.1,Podbielskiallee 50,14199,Berlin,52.464329,13.2973991,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",60,1015,0,1500
Restaurant Felfel,lieferando,7,3.9,Kaiser-Friedrich-Straße 34,14199,Berlin,52.5106593,13.3013469,"['burgers_541', 'vegetarian_391']",40,0,500,2000
Unser Kebap,lieferando,3170,4.2,Albrechtstraße 55,14199,Berlin,52.4470569,13.3416131,"['italian-pizza_271', 'burgers_541', 'doener_821']",40,745,0,2000
Feigen & Oliven,lieferando,58,4.2,Hohenzollerndamm 157,14199,Berlin,52.4881248,13.30205,"['italian-pizza_271', 'falafel_1256', 'arab_1246']",70,1023,100,1300
Dos,lieferando,354,4.0,Kurfürstendamm 129b,14199,Berlin,52.4962136,13.2884043,"['burgers_541', 'mexican_221', 'spanish-and-tapas_11']",75,1120,0,2000
Sanderella Delights,lieferando,156,3.9,Kaiserin-Augusta-Allee 38,14199,Berlin,52.5259056,13.3114851,"['100-halal_921', 'falafel_1256', 'arab_1246']",30,920,0,1000
Dunkin' Donuts,lieferando,30,4.0,Friedrichstraße -,14199,Berlin,52.5173586,13.3887787,"['desserts_954', 'cake_251']",40,1540,199,0
Caphe HOA,lieferando,228,4.8,Stallschreiberstraße 15 /0102,14199,Berlin,52.5063589,13.4079823,"['vegetarian_391', 'falafel_1215', 'asian_1864']",40,944,199,0
Burgermeister Konstanzer,lieferando,54,3.9,Konstanzer Straße 1,14199,Berlin,52.4989782,13.3121473,"['burgers_541', 'vegetarian_391', 'american_381']",45,0,199,1000
Kin-Za Schöneberg,lieferando,0,0.0,Eisenacher Straße 79,14199,Berlin,52.4887268,13.3495696,"['dumplings_1814', 'pork_1436', 'international_1486']",30,0,0,0
Weilands Wellfood,lieferando,0,0.0,Eichhornstraße 3,14199,Berlin,52.5062668,13.3731315,"['vegetarian_391', 'falafel_1256', 'israeli_331']",45,0,199,0
Hans im Glück,lieferando,176,3.1,Europaplatz 1,14199,Berlin,52.5249111,13.369492,"['burgers_541', 'american_381', 'falafel_1215']",35,1191,199,0
Indian street food,lieferando,87,4.3,Schöneberger Straße 22,14199,Berlin,52.50258,13.37865,"['indian_71', 'falafel_1215', 'curry_731']",45,830,199,0
Spoonful BERLIN,lieferando,0,0.0,Auguststraße 63,14199,Berlin,52.527203,13.3971057,"['falafel_1215', 'desserts_954', 'ice-cream_1194']",30,0,199,0
Besh,lieferando,32,4.5,Brückenstraße 15,14199,Berlin,52.511513,13.416606,"['vegetarian_391', 'indian_71', 'arab_1246']",40,700,199,0
Frittenwerk,lieferando,135,4.0,Friedrichstraße 69,14199,Berlin,52.5127799,13.3897306,"['falafel_1215', 'salads_1456', 'fries_1734']",40,0,199,0
Toast Brothers,lieferando,158,3.3,Kantstr. 109,14199,Berlin,52.5065498,13.3054422,"['sandwiches_671', 'wrap_1416', 'breakfast_361']",70,732,0,2000
Schmuck's Restauration,lieferando,205,4.4,Brückenstraße 13,14199,Berlin,52.5120669,13.4168464,"['german_431', 'salads_1456', 'german_441']",40,869,199,0
BITES Asian Tapas & Bowls,lieferando,109,4.7,Yorckstr. 22,14199,Berlin,52.4929106,13.3800294,"['vegetarian_391', 'falafel_1215', 'asian_1864']",45,0,199,0
Nem & More,lieferando,88,4.4,Brückenstraße 3,14199,Berlin,52.5120952,13.4171985,"['asian_1864', 'curry_731', 'vietnamese_261']",40,1092,199,0
Mama Cook Restaurant,lieferando,1134,3.9,Hedemannstraße 10,14199,Berlin,52.50299,13.38859,"['vegetarian_391', 'asian_1864', 'vietnamese_261']",45,744,199,0
Donut For You,lieferando,0,0.0,Schmiljanstraße 16,14199,Berlin,52.4689862,13.3320386,"['falafel_1215', 'desserts_954', 'baked-goods_2468']",35,0,0,1000
Chupenga Burritos & Salads,lieferando,246,4.0,Mohrenstraße 42,14199,Berlin,52.5125932,13.394473,"['mexican_221', 'salads_1456', 'lunch_351']",40,971,199,0
Diazo ®,lieferando,863,3.4,Attilastraße 175,14199,Berlin,52.4554479,13.3759942,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",40,1079,0,5000
Kamps Bäckerei mit Backstube,lieferando,16,3.0,Europaplatz 1,14199,Berlin,52.5257518,13.3685059,"['sandwiches_671', 'baked-goods_2468', 'breakfast_361']",35,1656,199,0
Mövenpick Hotel,lieferando,5,3.8,Schöneberger Str. 3,14199,Berlin,52.5038107,13.3804042,"['burgers_541', 'soup_1406', 'poke-bowl_2318']",45,0,199,0
Restaurant Machiavelli,lieferando,232,3.7,Albrechtstraße 13,14199,Berlin,52.5212258,13.3854785,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",45,1304,199,0
Restaurant Li Myra,lieferando,0,0.0,Maaßenstraße 11,14199,Berlin,52.4977,13.35473,"['italian_21', 'pasta_1614', 'fish_421']",40,0,199,0
BACK-FACTORY,lieferando,30,4.3,Friedrichstraße 207,14199,Berlin,52.5073238,13.3901385,"['lunch_351', 'snacks_201', 'cake_251']",45,0,199,0
BURGER KING ®,lieferando,814,2.4,Wilmersdorfer Straße 112,14199,Berlin,52.5070472,13.3068925,"['burgers_541', 'american_381', 'snacks_201']",45,975,199,1000
HaiCoffee & Asian Food and Sushi,lieferando,72,4.4,Wallstraße 1-2,14199,Berlin,52.5110852,13.4030565,"['asian_1864', 'vietnamese_261']",40,0,199,0
Asia Gondel,lieferando,66,4.0,Brückenstraße 1b,14199,Berlin,52.5116365,13.4171036,"['asian_1864', 'thai_61']",45,780,199,0
Fatih Servet Döner,lieferando,31,4.3,Europaplatz / Hauptbahnhof Berlin 1,14199,Berlin,52.5250839,13.369402,"['vegetarian_391', 'doener_821', 'turkish_31']",35,724,199,0
MA'LOA - Poké Bowl,lieferando,146,3.8,Oberwallstraße 9,14199,Berlin,52.5134504,13.396947,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",40,1031,199,0
Der Milchladen,lieferando,0,0.0,Dresdener Straße 20,14199,Berlin,52.5018788,13.4165739,"['lunch_351', 'cafe_2134', 'cake_251']",40,0,199,0
Choppaluna,lieferando,41,4.6,Rudi-Dutschke-Straße 17,14199,Berlin,52.5067797,13.3933877,"['salads_1456', 'lunch_351', 'breakfast_361']",45,0,199,0
Lami's cup and go,lieferando,8,4.9,Pestalozzistraße 28,14199,Berlin,52.5080396,13.3081808,"['desserts_954', 'snacks_201']",40,0,199,1000
Al Sultan Bistro,lieferando,95,4.3,Mehringplatz 6,14199,Berlin,52.4991307,13.3931189,"['vegetarian_391', 'falafel_1215', 'falafel_1256']",45,750,199,0
DINER 67,lieferando,16,4.4,Markgrafenstraße 67,14199,Berlin,52.50582,13.39388,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",45,774,199,0
Mubi's Cookies,lieferando,0,0.0,Reichenberger Straße 176,14199,Berlin,52.4997045,13.4170335,"['desserts_954', 'baked-goods_2468', 'ice-cream_1194']",45,0,199,0
Asia Sushi MJ,lieferando,2741,3.0,Teltower Damm 38,14199,Berlin,52.4305400,13.2591600,"['sushi_51', 'asian_1864']",40,806,0,1500
Cafe des Schicksals,lieferando,14,4.7,Lindenstraße 16,14199,Berlin,52.5028732,13.3955236,"['salads_1456', 'gluten-free_1556', 'cake_251']",50,0,199,0
Pablo Coffee,lieferando,0,0.0,Oranienstraße 35,14199,Berlin,52.5016918,13.4181371,['breakfast_361'],40,0,0,0
Best Curry Berlin,lieferando,8,3.6,Leipziger Platz 12,14199,Berlin,52.5102817,13.3792042,"['falafel_1215', 'german_431', 'fries_1734']",40,910,199,0
Pizza Point Berlin Kreuzberg,lieferando,10,3.8,Zimmerstraße 10,14199,Berlin,52.5073228,13.3878867,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",40,1038,199,0
Pizzeria Italia Berlin,lieferando,9,3.7,Schöneberger Straße 8,14199,Berlin,52.5033785,13.3795119,"['italian-pizza_271', 'italian_21', 'pasta_1614']",45,0,199,0
Morimori Ramen,lieferando,165,4.1,Oranienstrasse 201,14199,Berlin,52.4997914,13.4241851,"['japanese_551', 'falafel_1215', 'asian_1864']",50,1305,199,0
Rotes Kamel,lieferando,62,4.4,Hannah-Arendt-Straße 4,14199,Berlin,52.5140041,13.3811706,"['100-halal_921', 'arab_1246', 'lebanese_491']",40,1561,199,0
Subway,lieferando,36,2.2,Europaplatz 1,14199,Berlin,52.5249111,13.369492,"['salads_1456', 'sandwiches_671', 'wrap_1416']",35,0,199,0
Vedang - plant burger Mall,lieferando,534,4.6,Leipziger Platz 12 (Mall of Ber,14199,Berlin,52.5105259,13.3808092,"['burgers_541', 'vegetarian_391', 'falafel_1215']",40,917,199,0
MaKy - Vietnamese Cuisine,lieferando,21,4.2,Maybachufer 1,14199,Berlin,52.49545,13.42111,"['asian_1864', 'curry_731', 'vietnamese_261']",55,730,199,0
Mom's Kitchen,lieferando,12,4.8,Annenstraße 48,14199,Berlin,52.5075276,13.4147844,"['falafel_1215', 'turkish_31', 'lunch_351']",40,0,199,0
Pizza Slice,lieferando,14,4.0,Großbeerenstraße 78,14199,Berlin,52.4968388,13.3849195,"['italian-pizza_271', 'italian_21', 'pasta_1614']",45,1282,199,0
Trattoria Ischia,lieferando,3,4.6,Brabanter Platz 2,14199,Berlin,52.4819884,13.3168705,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,0,199,1000
Knofi,lieferando,27,4.6,Bergmannstraße 98,14199,Berlin,52.4897093,13.390908,"['vegetarian_391', 'pasta_1614']",45,0,199,0
Goldies Smash Burgers,lieferando,0,0.0,Graefestraße 93,14199,Berlin,52.495294,13.4196821,"['burgers_541', 'fries_1734', 'snacks_201']",40,0,199,0
Restaurant BaBaMi,lieferando,15,4.1,Zimmerstraße 23,14199,Berlin,52.5075736,13.3914197,"['asian_1864', 'soup_1406', 'poke-bowl_2318']",45,0,199,0
Café Dix in der Berlinischen Galerie,lieferando,5,4.6,Alte Jakobstraße 124-128,14199,Berlin,52.5037684,13.3986729,"['vegetarian_391', 'falafel_1215', 'lebanese_491']",45,968,199,0
Chupenga Burritos & Salads,lieferando,222,4.0,Charlottenstraße 4,14199,Berlin,52.5065747,13.3934657,"['mexican_221', 'salads_1456', 'lunch_351']",45,976,199,0
BACK-FACTORY,lieferando,31,4.5,Schloßstraße 40,14199,Berlin,52.4566365,13.3195787,['snacks_201'],35,3063,299,1000
Café Journale,lieferando,39,4.2,Lindenstraße 37,14199,Berlin,52.5068558,13.3984213,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",45,1000,199,0
Bull Burger,lieferando,35,4.3,Mehringdamm 32,14199,Berlin,52.4938046,13.3877894,"['burgers_541', 'vegetarian_391', 'falafel_1215']",45,801,199,0
China - City,lieferando,582,4.3,Leipziger Straße 46,14199,Berlin,52.5103859,13.3976361,"['chinese_41', 'vegetarian_391', 'asian_1864']",40,1383,199,0
BRGRS BRGRS - Organic Burgers,lieferando,1247,3.2,Brückenstr. 1A,14199,Berlin,52.5115059,13.4169483,"['burgers_541', 'american_381', 'snacks_201']",40,905,199,0
Sticks'n'Sushi,lieferando,263,4.3,Potsdamer Straße 85,14199,Berlin,52.5020079,13.3650928,"['sushi_51', 'japanese_551', 'fish_421']",45,2440,199,0
Rivado,lieferando,0,0.0,Kurfürstenstraße 79,14199,Berlin,52.5040745,13.3465833,"['salads_1456', 'steak_401']",40,0,199,0
Viet Bowl Mitte,lieferando,54,4.0,Zimmerstraße 69,14199,Berlin,52.5080041,13.3928408,"['asian_1864', 'thai_61', 'vietnamese_261']",40,881,199,0
Swadishta,lieferando,228,4.1,Kurfürstenstraße 131a,14199,Berlin,52.50185,13.35386,"['vegetarian_391', 'indian_71', 'falafel_1215']",45,1007,199,0
Hasir Burger,lieferando,538,4.1,Adalbertstraße 91,14199,Berlin,52.5011783,13.4189707,"['burgers_541', 'american_381', 'fries_1734']",50,916,199,0
Blue Nile - Äthiopisches Restaurant,lieferando,67,3.6,Tempelhofer Ufer 6,14199,Berlin,52.4978594,13.387276,"['vegetarian_391', 'beef_1426', 'african_771']",40,1919,199,0
MA'LOA - Poké Bowl,lieferando,135,4.0,Zimmerstraße 68,14199,Berlin,52.5080188,13.3931641,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",40,1031,199,0
Frittenwerk,lieferando,16,4.0,Leipziger Platz 12,14199,Berlin,52.5104461,13.3800834,"['falafel_1215', 'salads_1456', 'fries_1734']",50,0,199,0
Bombay Berlin,lieferando,59,4.2,Friedrichstraße 106 c,14199,Berlin,52.5232743,13.3884602,"['vegetarian_391', 'indian_71', 'chicken_521']",45,0,199,0
Naveenapath Srilanka haus,lieferando,34,4.4,Yorckstraße 89,14199,Berlin,52.49292,13.38574,"['indian_71', 'curry_731', 'chicken_521']",45,1259,199,0
Q Burger,lieferando,183,4.2,Markgrafenstr. 58,14199,Berlin,52.5081566,13.3939132,"['burgers_541', 'snacks_201']",40,653,199,0
Amrit Potsdamer Platz,lieferando,139,3.8,Ebertstraße 14,14199,Berlin,52.5105,13.37717,"['vegetarian_391', 'indian_71', 'falafel_1215']",45,0,199,0
Yorck's Kebap Allin,lieferando,148,4.5,Yorckstraße 89a,14199,Berlin,52.4928094,13.3864707,"['turkish_31', 'turkish-pizza_291']",45,1003,199,0
Humble vegane Burger & vegane Bowls,lieferando,49,4.7,Lützowstraße 19,14199,Berlin,52.5029538,13.3671836,"['falafel_1215', 'curry_731', 'poke-bowl_2318']",45,0,199,0
Giovanni Rana,lieferando,18,3.9,Leipziger Platz 12,14199,Berlin,52.5102817,13.3792042,"['italian_21', 'pasta_1614', 'salads_1456']",40,695,199,0
Nepal Haus,lieferando,86,4.6,Gneisenaustraße 4,14199,Berlin,52.4923547,13.3887523,"['indian_71', 'curry_731', 'chicken_521']",45,1046,199,0
Döner Point,lieferando,36,4.3,Leipziger Straße 45,14199,Berlin,52.5104879,13.3966614,"['doener_821', '100-halal_921', 'falafel_1256']",40,0,199,0
Ben & Jerry's und Magnum,lieferando,11,3.8,Heinrich-Heine-Straße 38c,14199,Berlin,52.5058504,13.412269,"['desserts_954', 'snacks_201', 'ice-cream_1194']",40,1202,199,0
CAY TRE QUAN,lieferando,131,4.3,Potsdamer Straße 69,14199,Berlin,52.503222,13.3662007,"['asian_1864', 'vietnamese_261']",45,1157,199,0
Waffle36,lieferando,0,0.0,Kottbusser Damm 9,14199,Berlin,52.493784,13.4212548,"['desserts_954', 'snacks_201']",40,0,0,0
Wiki Wiki Poke,lieferando,0,0.0,Lininenstraße 130,14199,Berlin,52.527052,13.3888103,"['falafel_1215', 'poke-bowl_2318']",45,0,199,0
Nisk,lieferando,39,4.5,Yorckstraße 25,14199,Berlin,52.49239,13.37909,"['pasta_1614', 'falafel_1215', 'drinks_241']",45,1029,199,0
Asia Snack Mehringplatz,lieferando,17,3.7,Mehringplatz 21,14199,Berlin,52.49844,13.3922,"['asian_1864', 'curry_731', 'thai_61']",45,667,199,0
Veggie & Vega - Restaurant,lieferando,132,3.7,Bergmannstraße 27,14199,Berlin,52.48877,13.39524,"['vegetarian_391', 'indian_71', 'falafel_1215']",45,969,199,0
Marthas Delicious Burgers,lieferando,346,3.8,Mehringdamm 40,14199,Berlin,52.4926816,13.3870561,"['burgers_541', 'vegetarian_391', 'falafel_1215']",45,864,199,0
Molinari & Ko,lieferando,548,4.3,Riemannstraße 13,14199,Berlin,52.49044,13.39202,"['italian-pizza_271', 'vegetarian_391', 'italian_21']",45,1026,199,0
Abirams Berlin,lieferando,29,4.7,Zossener Strasse 12,14199,Berlin,52.4922794,13.3943531,"['indian_71', 'falafel_1215', 'chicken_521']",45,0,199,0
H2 - Be Veggie,lieferando,637,4.1,Möckernstraße 48,14199,Berlin,52.4930738,13.3793401,"['vegetarian_391', 'falafel_1215', 'asian_1864']",45,966,199,0
Tsukushiya,lieferando,44,4.5,Dresdener Straße 16,14199,Berlin,52.5011915,13.4170473,"['japanese_551', 'falafel_1215']",50,1079,199,0
Ben & Jerry's und Magnum,lieferando,46,4.0,Yorckstraße 89a,14199,Berlin,52.4928094,13.3864706,"['desserts_954', 'snacks_201', 'ice-cream_1194']",40,1302,199,0
Sombrero,lieferando,120,4.1,Wrangelstraße 11-12,14199,Berlin,52.45557,13.31752,"['burgers_541', 'mexican_221', 'spanish-and-tapas_11']",35,1174,299,1000
Habibi - Falafel & Schawarma,lieferando,239,4.2,Goltzstraße 24,14199,Berlin,52.4966805,13.3536971,"['vegetarian_391', 'falafel_1256', 'arab_1246']",45,915,199,0
Pasam Baklava,lieferando,13,4.8,Goebenstraße 12a,14199,Berlin,52.4933302,13.3659291,"['turkish_31', 'desserts_954', 'cake_251']",40,2357,199,0
Hanoi Gourmet,lieferando,9,3.7,Leipziger Platz 12,14199,Berlin,52.5104461,13.3800834,"['sushi_51', 'asian_1864', 'vietnamese_261']",40,0,199,0
Ming Dynastie,lieferando,483,4.3,Brückenstraße 6,14199,Berlin,52.5134234,13.4181172,"['chinese_41', 'asian_1864', 'dumplings_1814']",40,2694,199,0
Barcomi's,lieferando,66,4.9,Bergmannstraße 21,14199,Berlin,52.4890051,13.3933534,"['desserts_954', 'sandwiches_671']",45,988,199,0
Swera - Restaurant & Cocktailbar,lieferando,70,4.3,Bergmannstraße 103,14199,Berlin,52.4899929,13.3891891,"['vegetarian_391', 'indian_71']",45,1263,199,0
Sesam,lieferando,34,4.6,Gneisenaustraße 22,14199,Berlin,52.4913159,13.3941017,"['100-halal_921', 'falafel_1256', 'arab_1246']",45,0,199,0
Balkaymak Simit Evi,lieferando,52,3.8,Gneisenaustrasse 3,14199,Berlin,52.49243,13.38851,"['pasta_1614', 'turkish_31', 'breakfast_361']",45,968,199,0
Habibi,lieferando,337,4.5,Akazienstraße 9,14199,Berlin,52.488145,13.3544435,"['vegetarian_391', 'sandwiches_671', 'falafel_1256']",45,915,199,0
Dunkin' Donuts,lieferando,72,3.5,Rathausstraße 5,14199,Berlin,52.5188741,13.4109173,"['desserts_954', 'cake_251']",40,1540,199,0
Tandoori Nächte,lieferando,6,3.7,Bornimer Straße 4,14199,Berlin,52.4962467,13.2858841,['indian_71'],45,0,199,1000
Noodle Plus,lieferando,23,3.8,Hannah-Arendt-Straße 1,14199,Berlin,52.5136773,13.3814525,"['chinese_41', 'vegetarian_391', 'asian_1864']",50,0,199,0
Akito Sushi Bar,lieferando,6,4.7,Reinhardtstraße 6,14199,Berlin,52.5239124,13.3867527,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",45,0,199,0
India,lieferando,147,4.3,Bergmannstraße 100,14199,Berlin,52.489844,13.3899312,"['vegetarian_391', 'indian_71', 'falafel_1215']",45,1425,199,0
Cedar,lieferando,41,4.4,Skalitzer Straße 102,14199,Berlin,52.4994654,13.4279591,"['falafel_1256', 'arab_1246', 'lebanese_491']",50,714,199,0
Habibi Berlin,lieferando,4,4.1,Körtestraße 35,14199,Berlin,52.4893909,13.4084665,"['vegetarian_391', '100-halal_921', 'falafel_1256']",50,0,199,0
Florya's Burger House,lieferando,110,4.1,Potsdamer Straße 69,14199,Berlin,52.503222,13.3662007,"['burgers_541', 'american_381', 'hot-dog_1824']",45,819,199,0
Stay Green - Bowls Salad Pasta,lieferando,16,4.7,Leipziger Straße 51,14199,Berlin,52.5107206,13.4016645,"['pasta_1614', 'salads_1456', 'poke-bowl_2318']",50,0,199,0
Madang Restaurant,lieferando,74,3.9,Gneisenaustraße 8,14199,Berlin,52.49211,13.39017,"['asian_1864', 'korean_1114', 'chicken_521']",45,1270,199,0
Tucano Coffee,lieferando,18,4.7,Rahel-Hirsch-Straße 10,14199,Berlin,52.5228096,13.3680145,"['salads_1456', 'sandwiches_671', 'cake_251']",40,756,199,0
