restaurant_name,platform,reviews,avg_review_score,street,zip_code,city,latitude,longitude,type_of_cuisine,avg_delivery_time,pricyness,delivery_fee,minimum_order_value
Vadoli Pizza Berlin Mitte,lieferando,3644,4.4,Oranienburger Strasse 13-14,14199,Berlin,52.5238316,13.3985704,"['italian-pizza_271', 'italian_21', 'salads_1456']",30,887,0,0
Mix my bowl,lieferando,27,4.1,Mehringdamm 72,14199,Berlin,52.4902106,13.3860044,"['salads_1456', 'lunch_351', 'poke-bowl_2318']",25,0,0,0
Ristorante Centro Sud,lieferando,33,4.8,Bülowstr. 10,14199,Berlin,52.4984679,13.3574834,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",35,1003,0,0
iiu - Asian Fusion Food,lieferando,5467,4.4,Oranienstr. 10-11,14199,Berlin,52.50018,13.42427,"['sushi_51', 'asian_1864', 'vietnamese_261']",30,1183,0,0
Berkis,lieferando,5306,4.5,Winterfeldtstraße 45,14199,Berlin,52.4970130,13.3536903,['greek_91'],40,869,0,0
Berlin Burrito,lieferando,1679,4.4,Pallasstraße 21,14199,Berlin,52.4945335,13.3543232,['mexican_221'],40,891,0,0
Sushi For You,lieferando,503,4.4,Heinrich-Heine-Straße 29,14199,Berlin,52.5067624,13.4137248,"['sushi_51', 'japanese_551', 'asian_1864']",30,1410,0,0
Kaiju,lieferando,66,4.6,Grunewaldstraße 21,14199,Berlin,52.4897736,13.3506465,"['sushi_51', 'asian_1864', 'vietnamese_261']",40,0,0,0
Baharat Falafel & Shawarma,lieferando,300,4.4,Winterfeldtstraße 37,14199,Berlin,52.4968955,13.3551358,"['vegetarian_391', 'falafel_1256']",45,1012,0,0
Call a Pizza,lieferando,118,4.0,Arndtstraße 6,14199,Berlin,52.48845,13.39478,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",35,0,0,0
Tre Xanh,lieferando,881,4.6,Heimstraße 8,14199,Berlin,52.48754,13.39648,"['asian_1864', 'vietnamese_261']",25,744,0,0
Müm Bistro,lieferando,63,3.9,Reichenberger Straße 151,14199,Berlin,52.4972728,13.4249715,"['sandwiches_671', 'breakfast_361', 'chicken_521']",25,916,0,0
Chéri,lieferando,281,4.4,Dudenstraße 6,14199,Berlin,52.4851164,13.384907,"['burgers_541', 'mexican_221', 'pasta_1614']",40,997,0,0
Burgerzimmer,lieferando,772,4.1,Heinrich-Heine-Straße 38,14199,Berlin,52.505646,13.4120233,"['burgers_541', 'vegetarian_391', '100-halal_921']",40,974,0,0
Emo's Tempelburger,lieferando,770,4.5,Dudenstraße 15,14199,Berlin,52.484778,13.3830867,"['italian-pizza_271', 'burgers_541', '100-halal_921']",40,804,0,0
Mezban,lieferando,1511,4.7,Eisenacher Straße 59,14199,Berlin,52.485112,13.3520983,"['indian_71', 'falafel_1215', '100-halal_921']",40,1535,0,0
AMRIT - Berlin Schöneberg,lieferando,777,4.2,Winterfeldtstraße 40,14199,Berlin,52.497241,13.3549351,"['vegetarian_391', 'indian_71', 'falafel_1215']",40,1071,0,0
Burgerzimmer,lieferando,612,4.7,Hauptstraße 159,14199,Berlin,52.4898083,13.3601656,"['burgers_541', 'vegetarian_391', '100-halal_921']",40,974,0,0
AMRIT - Berlin Mitte,lieferando,1923,4.3,Oranienburger Straße 45,14199,Berlin,52.5259176,13.3898183,"['vegetarian_391', 'indian_71', 'falafel_1215']",40,1074,0,0
Öz Adana Grillhaus,lieferando,285,3.8,Oranienstraße 2a,14199,Berlin,52.4995879,13.4257618,"['turkish_31', 'steak_401', 'chicken_231']",50,1279,0,0
Atlantik Fischladen,lieferando,122,4.1,Potsdamer Straße 166,14199,Berlin,52.495478,13.3608162,"['salads_1456', 'seafood_1476', 'fish_421']",60,1642,0,0
Trattoria Pirandello,lieferando,1185,4.2,Manfred von Richthofenstraße 9,14199,Berlin,52.4836571,13.3839838,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,1107,0,0
Verona Italian Restaurant,lieferando,545,4.3,Fischerinsel 5,14199,Berlin,52.51281,13.4082101,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,1217,0,0
Afropot Berlin,lieferando,4,4.6,Bergmannstraße 58,14199,Berlin,52.4889502,13.403051,"['vegetarian_391', 'lunch_351', 'african_771']",45,0,199,0
Asia Food Sushi,lieferando,106,4.0,Genthiner Straße 50,14199,Berlin,52.50167,13.35808,"['sushi_51', 'chinese_41', 'chicken_521']",40,885,0,0
PaPi Urban,lieferando,71,3.6,Urbanstraße 176,14199,Berlin,52.4943025,13.4020392,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",75,0,0,0
Boccacelli,lieferando,409,4.6,Winterfeldtstraße 34,14199,Berlin,52.4970885,13.3556649,"['italian-pizza_271', 'italian_21', 'pasta_1614']",50,1697,0,0
Monaco,lieferando,6,3.6,Mansteinstraße 17,14199,Berlin,52.4930506,13.3673294,"['italian-pizza_271', 'burgers_541', 'spanish-and-tapas_11']",55,0,0,0
Pizza La Rosa,lieferando,333,3.9,Hauptstraße 26,14199,Berlin,52.4857818,13.3548744,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,866,0,0
Jinbu Sushi,lieferando,138,4.3,Bertolt-Brecht-Platz 2,14199,Berlin,52.5225593,13.386168,"['sushi_51', 'asian_1864', 'soup_1406']",45,0,0,0
Masuta Sushi,lieferando,866,4.5,Manteuffelstraße 99,14199,Berlin,52.5009343,13.4281498,"['sushi_51', 'vegetarian_391', 'poke-bowl_2318']",30,0,0,0
Bamboo Bay,lieferando,204,4.9,Torgauer Straße 12-15,14199,Berlin,52.4818551,13.3564925,"['sushi_51', 'japanese_551', 'vietnamese_261']",30,1098,0,7500
Mimatoha,lieferando,4048,4.1,Oranienstr. 47,14199,Berlin,52.5029312,13.4138817,"['sushi_51', 'chinese_41', 'thai_61']",40,860,0,0
BonBon Asian Streetfood,lieferando,14,3.9,Friesenstraße 13,14199,Berlin,52.48634,13.3941,"['japanese_551', 'asian_1864', 'dumplings_1814']",35,0,199,0
Da Dante,lieferando,1702,4.5,Oranienstraße 10-11,14199,Berlin,52.50018,13.42427,"['italian-pizza_271', 'italian_21']",50,1109,0,0
Haci Baba,lieferando,1229,4.3,Adalbertstraße 89,14199,Berlin,52.50163,13.4192844,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,868,0,0
Tele Pizza,lieferando,1291,4.4,Keithstraße 18-20,14199,Berlin,52.50346,13.34623,"['italian-pizza_271', 'burgers_541', 'snacks_201']",30,1079,0,0
BURGER KING ®,lieferando,2322,2.5,Potsdamer Straße 114,14199,Berlin,52.5004124,13.3630204,"['burgers_541', 'american_381', 'snacks_201']",45,956,199,0
Pizzeria Mario,lieferando,604,4.4,Leberstraße 25,14199,Berlin,52.4838373,13.3617332,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",40,786,0,0
Peter Pane,lieferando,348,4.0,Friedrichstraße 101,14199,Berlin,52.5207889,13.3884786,"['burgers_541', 'falafel_1215', 'salads_1456']",45,1185,0,0
Burger House,lieferando,393,4.1,Reichenberger Str. 174,14199,Berlin,52.49966,13.4172701,"['burgers_541', 'snacks_201', 'chicken_521']",30,922,0,0
KFC,lieferando,77,1.5,Leipziger Platz 12,14199,Berlin,52.5102491,13.3799541,"['burgers_541', 'american_381', 'chicken_521']",90,0,0,0
The Burrito Window,lieferando,574,3.9,Reichenberger Straße 176,14199,Berlin,52.4997045,13.4170335,"['vegetarian_391', 'mexican_221', 'falafel_1215']",10,874,0,0
Monkey,lieferando,28,4.8,Schönleinstraße 34,14199,Berlin,52.4926564,13.4216942,"['sushi_51', 'vegetarian_391', 'asian_1864']",30,0,0,0
dean & david,lieferando,545,4.0,Karl-Liebknecht-Str. 7,14199,Berlin,52.5208768,13.4055181,"['vegetarian_391', 'falafel_1215', 'salads_1456']",60,1114,0,0
Don Giovanni,lieferando,367,4.0,Werftstraße 21,14199,Berlin,52.5228427,13.3595817,"['italian-pizza_271', 'italian_21', 'argentinian_1774']",30,909,0,0
Rohhäppchen,lieferando,569,4.4,Dircksenstraße 51,14199,Berlin,52.5233116,13.4038078,"['sushi_51', 'falafel_1215', 'asian_1864']",60,1307,0,0
Rainbowl I,lieferando,1242,4.5,Kurfürstenstraße 114,14199,Berlin,52.5034841,13.3472412,"['japanese_551', 'asian_1864', 'poke-bowl_2318']",40,1257,0,0
Chelany - Mitte,lieferando,385,4.2,Torstraße 221,14199,Berlin,52.5276532,13.38861,"['indian_71', 'falafel_1215', 'pakistani_1804']",40,1497,0,0
Q Burger,lieferando,794,4.4,Eisenacher Straße 87-88,14199,Berlin,52.4908186,13.349439,"['burgers_541', 'fries_1734', 'snacks_201']",25,759,0,0
Fresh's,lieferando,1042,4.4,Oranienburger Straße 13/13-14,14199,Berlin,52.5238316,13.3985704,"['italian-pizza_271', 'salads_1456', 'wrap_1416']",40,788,0,0
Saravanaa Bhavan,lieferando,0,0.0,Potsdamer Platz 5,14199,Berlin,52.5105094,13.3761875,"['vegetarian_391', 'indian_71', 'curry_731']",40,0,199,0
Saha - Gaziantep Spezialitäten,lieferando,366,4.1,Adalbertstraße 86,14199,Berlin,52.5020211,13.4195515,"['vegetarian_391', 'doener_821', 'turkish_31']",25,719,0,0
BEN RAHIM,lieferando,5,5.0,Sophienstraße 7,14199,Berlin,52.5252133,13.4018684,"['desserts_954', 'sandwiches_671', 'snacks_201']",25,675,199,0
Bella Vita,lieferando,878,4.1,Kolonnenstraße 45,14199,Berlin,52.4853032,13.3642953,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",50,1254,0,0
Burger Time,lieferando,2818,3.5,Kolonnenstr. 27,14199,Berlin,52.48492,13.36628,"['burgers_541', 'american_381', 'desserts_954']",40,716,0,0
Fresh's,lieferando,814,4.3,Akazienstr. 9,14199,Berlin,52.4881993,13.354614,"['italian-pizza_271', 'salads_1456', 'wrap_1416']",25,867,0,0
Olio Sale Pepe,lieferando,110,3.7,Willmanndamm 15,14199,Berlin,52.4902085,13.3618233,"['italian-pizza_271', 'pasta_1614']",45,0,0,0
Dalya Restaurant,lieferando,46,4.3,Mariannenstraße 36,14199,Berlin,52.4977365,13.4214112,"['turkish_31', '100-halal_921', 'fish_421']",50,0,0,0
La Pizzetta,lieferando,269,3.9,Kolonnenstraße 18,14199,Berlin,52.4848945,13.3637925,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,1228,0,0
O'Tacos,lieferando,5,3.9,Spandauer Straße 4,14199,Berlin,52.5206084,13.404795,"['100-halal_921', 'wrap_1416', 'french_321']",45,0,199,0
HIMALI RESTAURANT UND BAR,lieferando,133,4.2,Crellestraße 45,14199,Berlin,52.4873305,13.3586184,"['indian_71', 'asian_1864', 'curry_731']",30,1142,199,0
Yogi - Restaurant,lieferando,1218,3.7,Müllenhoffstr. 1,14199,Berlin,52.4909261,13.4161406,"['indian_71', 'asian_1864', 'chicken_521']",35,1388,0,0
Restaurant Mittmann,lieferando,558,3.7,Rungestraße 11,14199,Berlin,52.5123151,13.4167629,"['german_431', 'german_441', 'fish_421']",60,1435,0,0
Vedang - plant burger Alexa,lieferando,443,4.7,Grunerstraße 20 (2. OG im Al,14199,Berlin,52.5199703,13.4147251,"['burgers_541', 'vegetarian_391', 'falafel_1215']",25,933,0,0
Kreuzburger Oranienstraße,lieferando,414,3.9,Oranienstraße 190 links,14199,Berlin,52.5003921,13.4221018,"['burgers_541', 'fries_1734', 'hot-dog_1824']",75,904,0,0
BURGER KING ®,lieferando,222,2.4,Georgenstraße 14-18,14199,Berlin,52.5200738,13.3872602,"['burgers_541', 'american_381', 'snacks_201']",45,981,199,0
Call a Pizza,lieferando,5005,3.7,Martin-Luther-Straße 39,14199,Berlin,52.4938837,13.3459186,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",40,1298,0,0
Que Pasa Restaurant,lieferando,185,3.5,Skalitzer Straße 107,14199,Berlin,52.4994376,13.427056,"['burgers_541', 'mexican_221', 'chicken_521']",60,904,0,0
Starbucks,lieferando,36,3.8,Panoramastraße 1A,14199,Berlin,52.5207132,13.4092793,"['cafe_2134', 'cake_251', 'drinks-and-snacks_661']",35,599,0,0
Viet Bowl,lieferando,69,4.4,Marlene-Dietrich-Platz 1,14199,Berlin,52.5070442,13.3720023,"['sushi_51', 'vegetarian_391', 'vietnamese_261']",40,1053,199,0
Morgenland,lieferando,51,3.1,Skalitzer Straße 35,14199,Berlin,52.498796,13.4256527,"['burgers_541', 'pasta_1614', 'steak_401']",20,964,0,0
Sto Steki,lieferando,187,4.3,Hasenheide 18,14199,Berlin,52.4879445,13.419687,"['greek_91', 'gyros_1356', 'seafood_1476']",40,958,0,0
Burgermeister Kotti,lieferando,1616,3.5,Skalitzer Straße 136,14199,Berlin,52.4995032,13.4185966,"['burgers_541', 'american_381', 'snacks_201']",35,674,199,0
Viet Street,lieferando,108,4.2,Dircksenstr. 93,14199,Berlin,52.5180296,13.4154194,"['sushi_51', 'asian_1864', 'vietnamese_261']",15,1101,0,0
Hung Anh Vietnamesisches Restaurant,lieferando,173,4.2,Chausseestraße 130,14199,Berlin,52.527607,13.3864059,"['sushi_51', 'vegetarian_391', 'vietnamese_261']",90,1129,0,0
Nhat Long,lieferando,3835,3.6,Torstraße 210,14199,Berlin,52.52766,13.3906,"['sushi_51', 'thai_61', 'vietnamese_261']",45,1466,0,0
Trentasei,lieferando,135,4.2,Skalitzer Straße 34,14199,Berlin,52.4989133,13.4253506,"['italian-pizza_271', 'italian_21', 'pasta_1614']",35,1268,199,0
Berliner Marcus Bräu,lieferando,153,3.9,Münzstr. 3,14199,Berlin,52.5239938,13.408986,"['german_431', 'schnitzel_1654', 'german_441']",35,1142,199,0
Simela Finest Food,lieferando,165,4.1,Koppenplatz 1,14199,Berlin,52.5275297,13.3981443,"['italian-pizza_271', 'pasta_1614', 'tarte_2424']",30,0,0,0
Salar of India,lieferando,136,4.4,Werner-Voß-Damm 60,14199,Berlin,52.47622,13.36808,"['indian_71', 'asian_1864', 'curry_731']",40,0,300,3500
