,restaurant_name,avg_review_score,reviews,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,opening_hours
6676,Kantine im Julius-Kuhn-Institut,,,generic,KöniginLuiseStraße 19 Dahlem 14195 Berlin,KöniginLuiseStraße 19,14195.0,Dahlem,"52.45813, 13.29942",52.45813,13.29942,here_maps,Mon-Fri: 07:00 - 15:00
6677,"Esskultur, Restaurant und Beduinenzelt",,,international,Dahlem 14195 Berlin,,,,"52.45785, 13.29131",52.45785,13.29131,here_maps,
6678,Villa Rosa,,,generic,KöniginLuiseStraße 11 Dahlem 14195 Berlin,KöniginLuiseStraße 11,14195.0,Dahlem,"52.45864, 13.30271",52.45864,13.30271,here_maps,Mon-Sun: 11:00 - 00:00
6679,Esskultur,,,generic,Takustraße 38 Dahlem 14195 Berlin,Takustraße 38,14195.0,Dahlem,"52.45585, 13.29289",52.45585,13.29289,here_maps,Mon-Sun: 10:00 - 18:00
6680,Asia Snack Dahlem,,,asian,KöniginLuiseStraße 38 Dahlem 14195 Berlin,KöniginLuiseStraße 38,14195.0,Dahlem,"52.45787, 13.29278",52.45787,13.29278,here_maps,"Mon-Fri: 10:00 - 22:00 Sat, Sun: 11:00 - 22:00"
6681,Piaggio,,,italian,KöniginLuiseStraße 44 Dahlem 14195 Berlin,KöniginLuiseStraße 44,14195.0,Dahlem,"52.45784, 13.29084",52.45784,13.29084,here_maps,Mon-Sun: 12:00 - 23:59
6682,Fabecks,,,european,Altensteinstraße 42 Dahlem 14195 Berlin,Altensteinstraße 42,14195.0,Dahlem,"52.45053, 13.29574",52.45053,13.29574,here_maps,Mon-Sun: 11:00 - 00:00
6683,Really Good Life,,,american,KöniginLuiseStraße 44 Dahlem 14195 Berlin,KöniginLuiseStraße 44,14195.0,Dahlem,"52.45784, 13.29084",52.45784,13.29084,here_maps,Mon-Sun: 08:00 - 21:00
6684,Papillon,,,european,Takustraße 39 Dahlem 14195 Berlin,Takustraße 39,14195.0,Dahlem,"52.45695, 13.29344",52.45695,13.29344,here_maps,Mon-Sun: 06:00 - 23:00
6685,Das Cafe in der Gartenakademie,,,european,Altensteinstraße 15A Dahlem 14195 Berlin,Altensteinstraße 15A,14195.0,Dahlem,"52.45606, 13.29943",52.45606,13.29943,here_maps,Tue-Sat: 10:00 - 19:00 Sun: 10:00 - 16:00
6686,Eis Zeit,,,generic,KöniginLuiseStraße 41A Dahlem 14195 Berlin,KöniginLuiseStraße 41A,14195.0,Dahlem,"52.45828, 13.29135",52.45828,13.29135,here_maps,
6687,Botanischer Garten,,,european,Unter den Eichen 5 Lichterfelde 12203 Berlin,Unter den Eichen 5,12203.0,Lichterfelde,"52.45192, 13.31035",52.45192,13.31035,here_maps,
6688,Loch Ness Scottish Pub & Whisky Bar,,,european,Roonstraße 31 Lichterfelde 12203 Berlin,Roonstraße 31,12203.0,Lichterfelde,"52.44681, 13.31116",52.44681,13.31116,here_maps,"Tue-Thu: 17:00 - 00:00 Fri, Sat: 17:00 - 01:00"
6689,Taverna Kretamos,,,greek,Gardeschützenweg 68 Lichterfelde 12203 Berlin,Gardeschützenweg 68,12203.0,Lichterfelde,"52.44678, 13.30632",52.44678,13.30632,here_maps,Tue-Sat: 12:00 - 22:00
6690,Alter Krug,,,mediterranean,KöniginLuiseStraße 52 Dahlem 14195 Berlin,KöniginLuiseStraße 52,14195.0,Dahlem,"52.45789, 13.28818",52.45789,13.28818,here_maps,Mon-Sun: 10:00 - 23:00
6691,Englers Restaurant,,,european,Englerallee 42 Dahlem 14195 Berlin,Englerallee 42,14195.0,Dahlem,"52.45911, 13.30442",52.45911,13.30442,here_maps,Mon-Sun: 09:00 - 00:00
6692,Pesetas,,,mediterranean,Unter den Eichen 112 Lichterfelde 12203 Berlin,Unter den Eichen 112,12203.0,Lichterfelde,"52.44886, 13.30329",52.44886,13.30329,here_maps,Mon-Sat: 17:00 - 00:00
6693,La Favorita,,,european,Habelschwerdter Allee 23 Dahlem 14195 Berlin,Habelschwerdter Allee 23,14195.0,Dahlem,"52.44863, 13.29086",52.44863,13.29086,here_maps,"Mon-Thu, Sat: 17:00 - 23:59 Fri: 23:59 - 23:59 Sun: 12:00 - 22:00"
6694,Non la,,,generic,Grunewaldstraße 28 Steglitz 12165 Berlin,Grunewaldstraße 28,12165.0,Steglitz,"52.46011, 13.30945",52.46011,13.30945,here_maps,"Mon-Fri, Sun: 12:00 - 22:00 Sat: 15:00 - 22:00"
6695,Coffee Station,,,generic,Thielallee Dahlem 14195 Berlin,Thielallee,14195.0,Dahlem,"52.449588, 13.285762",52.449588,13.285762,here_maps,
6696,Hee Lam Mun,,,generic,Grunewaldstraße 23 Steglitz 12165 Berlin,Grunewaldstraße 23,12165.0,Steglitz,"52.45994, 13.31219",52.45994,13.31219,here_maps,Mon-Sun: 12:00 - 23:59
6697,Chirag,,,asian,Unter den Eichen 42 Lichterfelde 12203 Berlin,Unter den Eichen 42,12203.0,Lichterfelde,"52.44957, 13.30272",52.44957,13.30272,here_maps,Mon-Sun: 11:30 - 00:00
6698,Landhaus Botanischer Garten,,,european,Unter den Eichen Lichterfelde 12203 Berlin,Unter den Eichen,12203.0,Lichterfelde,"52.45229, 13.311127",52.45229,13.311127,here_maps,
