circle_id,kmradius,Unnamed: 0,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,distance_to_circle_center
4,2,2713,Restaurant Bellissimo,8.8,174.0,20.0,0.0,0.0,30.0,italian,"Töpchiner Weg 144, 12105.0, Berlin",Töpchiner Weg 144,12105.0,Berlin,"52.4068955,13.4153063",52.4068955,13.4153063,lieferando,1.8199532493976454
4,2,2714,Phoco Vietnam Thai und Sushi,8.2,2205.0,30.0,2.0,845.0,60.0,asian,"Lichtenrader Damm 269, 12105.0, Berlin",Lichtenrader Damm 269,12105.0,Berlin,"52.388008,13.4091602",52.388008,13.4091602,lieferando,0.9781087190514459
4,2,2715,Thai-Nippon Sushi-Bar,8.0,272.0,20.0,2.0,828.0,65.0,asian,"Buckower Chaussee 100, 12105.0, Berlin",Buckower Chaussee 100,12105.0,Berlin,"52.410474,13.3817438",52.410474,13.3817438,lieferando,2.162051238262323
4,2,2720,Yumi Sushi,9.6,2268.0,20.0,0.0,1170.0,30.0,asian,"Lichtenrader Damm 61, 12105.0, Berlin",Lichtenrader Damm 61,12105.0,Berlin,"52.4084406,13.4050362",52.4084406,13.4050362,lieferando,1.6568118914137273
4,2,2728,Pho 36,9.2,188.0,20.0,0.0,1218.0,30.0,asian,"Lichtenrader Damm 10 - 12, 12107.0, Berlin",Lichtenrader Damm 10 - 12,12107.0,Berlin,"52.4133033,13.401539",52.4133033,13.401539,lieferando,2.1499596095560913
4,2,2731,Sushi Yana,9.6,270.0,12.0,0.0,0.0,30.0,asian,"Bahnhofstraße 29, 12107.0, Berlin",Bahnhofstraße 29,12107.0,Berlin,"52.3869574,13.3987937",52.3869574,13.3987937,lieferando,0.7901573388210494
4,2,2732,Restaurant My friends,8.6,67.0,18.0,0.0,0.0,40.0,asian,"Lichtenrader Damm 42, 12107.0, Berlin",Lichtenrader Damm 42,12107.0,Berlin,"52.4101768,13.4032116",52.4101768,13.4032116,lieferando,1.8192510039944807
4,2,2733,McDonald's®,9.0,704.0,15.0,0.0,975.0,30.0,american,"Buckower Chausee 100-102, 12107.0, Berlin",Buckower Chausee 100-102,12107.0,Berlin,"52.4104838,13.3818036",52.4104838,13.3818036,lieferando,2.16079891505486
4,2,2735,21 Club-Devil Burger - Pasta & More,9.8,588.0,11.5,1.5,733.0,30.0,american,"John-Locke-Straße 21, 12107.0, Berlin",John-Locke-Straße 21,12107.0,Berlin,"52.3916385,13.4020943",52.3916385,13.4020943,lieferando,0.3531434834622735
4,2,2736,Valentino,8.2,2667.0,20.0,2.0,819.0,40.0,italian,"Schichauweg 1, 12107.0, Berlin",Schichauweg 1,12107.0,Berlin,"52.39812,13.38857",52.39812,13.38857,lieferando,0.8266270528442851
4,2,2738,Cuernavaca Mexican Steakhouse,9.2,631.0,20.0,1.5,1309.0,30.0,american,"Lichtenrader Damm 93, 12107.0, Berlin",Lichtenrader Damm 93,12107.0,Berlin,"52.4052262,13.4067743",52.4052262,13.4067743,lieferando,1.3577699501814413
4,2,2742,Gyros King,9.0,1119.0,20.0,0.0,955.0,40.0,mediterranean,"Lichtenrader Damm 45a, 12107.0, Berlin",Lichtenrader Damm 45a,12107.0,Berlin,"52.4100676,13.4040984",52.4100676,13.4040984,lieferando,1.8184147884474315
4,2,2745,Asia Food,9.2,1060.0,20.0,0.0,902.0,50.0,asian,"John-Locke-Straße 19, 12107.0, Berlin",John-Locke-Straße 19,12107.0,Berlin,"52.3919066,13.4027084",52.3919066,13.4027084,lieferando,0.3610904845823881
4,2,2817,Ko Chang,8.8,193.0,20.0,2.0,0.0,30.0,asian,"Bahnhofstraße 60, 12277.0, Berlin",Bahnhofstraße 60,12277.0,Berlin,"52.386455,13.4066473",52.386455,13.4066473,lieferando,1.0028742314391248
4,2,2819,Villa 23,9.0,1250.0,12.0,2.0,1033.0,30.0,american,"Nahariyastraße 23, 12305.0, Berlin",Nahariyastraße 23,12305.0,Berlin,"52.3928806,13.4194452",52.3928806,13.4194452,lieferando,1.4157182772911001
4,2,2820,Vietnam Town - Sushi Bar,8.8,37.0,30.0,2.0,0.0,40.0,asian,"Bahnhofstraße 2, 12305.0, Berlin",Bahnhofstraße 2,12305.0,Berlin,"52.3868396,13.4071683",52.3868396,13.4071683,lieferando,0.9872315279409658
5,2,2652,Conte's Pizza & Pasta,9.2,481.0,35.0,0.0,0.0,40.0,italian,"Attilastraße 14-16, 12051.0, Schönefeld",Attilastraße 14-16,12051.0,Schönefeld,"52.4072923,13.4389934",52.4072923,13.4389934,lieferando,1.6193528298666797
5,2,2667,Funa Sushi,9.0,498.0,13.9,0.0,0.0,40.0,asian,"Attilastraße 18, 12099.0, Schönefeld",Attilastraße 18,12099.0,Schönefeld,"52.4070529,13.4395987",52.4070529,13.4395987,lieferando,1.5782119609785898
5,2,2737,Barbekü 62,7.0,56.0,12.0,2.0,0.0,40.0,italian,"Karl-Marx-Straße 117, 12107.0, Schönefeld",Karl-Marx-Straße 117,12107.0,Schönefeld,"52.4009765,13.4405921",52.4009765,13.4405921,lieferando,0.9547960635516405
5,2,2744,Dream's Pizza,8.6,883.0,14.0,1.5,899.0,40.0,italian,"Am Schulzenpfuhl 1a, 12107.0, Schönefeld",Am Schulzenpfuhl 1a,12107.0,Schönefeld,"52.4077096,13.4412501",52.4077096,13.4412501,lieferando,1.6055812269350844
5,2,2747,Dream's Grill,7.4,203.0,19.0,1.5,882.0,60.0,american,"Am Schulzenpfuhl 1, 12107.0, Berlin",Am Schulzenpfuhl 1,12107.0,Berlin,"52.4077826,13.4409847",52.4077826,13.4409847,lieferando,1.6191810412285568
5,2,2819,Villa 23,9.0,1250.0,12.0,2.0,1033.0,30.0,american,"Nahariyastraße 23, 12305.0, Berlin",Nahariyastraße 23,12305.0,Berlin,"52.3928806,13.4194452",52.3928806,13.4194452,lieferando,2.008696030682109
5,2,2823,Pizza Magic,9.4,402.0,0.0,0.0,1003.0,30.0,italian,"Alt Großziethen 24, 12305.0, Schönefeld",Alt Großziethen 24,12305.0,Schönefeld,"52.39588,13.44606",52.39588,13.44606,lieferando,0.27963831844551734
6,2,2734,Sushi Yana,8.6,3914.0,15.0,0.0,1147.0,50.0,asian,"Groß-Ziethener-Chaussee 43, 12107.0, Berlin",Groß-Ziethener-Chaussee 43,12107.0,Berlin,"52.4118,13.49126",52.4118,13.49126,lieferando,2.044016948462405
6,2,2827,Arel,9.0,427.0,20.0,4.0,1043.0,40.0,american,"Lieselotte-Berger-Platz 8, 12309.0, Berlin",Lieselotte-Berger-Platz 8,12309.0,Berlin,"52.4040138,13.5070586",52.4040138,13.5070586,lieferando,1.2349017394972435
6,2,2843,Miu Sushi,9.4,800.0,15.0,0.0,1140.0,40.0,asian,"Lieselotte-Berger-Straße 32, 12351.0, Berlin",Lieselotte-Berger-Straße 32,12351.0,Berlin,"52.4030553,13.5059825",52.4030553,13.5059825,lieferando,1.10701483349193
6,2,2844,Pizza Jack,8.8,3525.0,15.0,0.5,906.0,50.0,italian,"Elly-Heuss-Knapp-Str. 21, 12351.0, Berlin",Elly-Heuss-Knapp-Str. 21,12351.0,Berlin,"52.4038556,13.5057454",52.4038556,13.5057454,lieferando,1.181833575870621
6,2,2845,Tony's Fresh,9.0,547.0,35.0,0.0,756.0,40.0,italian,"Ortolfstraße 206A, 12351.0, Berlin",Ortolfstraße 206A,12351.0,Berlin,"52.4025915,13.5259293",52.4025915,13.5259293,lieferando,2.061811971663047
6,2,2850,Istanbul Grill,7.4,937.0,20.0,1.5,688.0,60.0,italian,"Schönefelder Chaussee 235, 12351.0, Berlin",Schönefelder Chaussee 235,12351.0,Berlin,"52.4030499,13.52441",52.4030499,13.52441,lieferando,1.9956644104344439
6,2,2856,China Ecke Mauer,9.2,1705.0,12.0,0.0,851.0,50.0,asian,"Waltersdorfer Chaussee 36, 12351.0, Berlin",Waltersdorfer Chaussee 36,12351.0,Berlin,"52.4136174,13.5009325",52.4136174,13.5009325,lieferando,2.1802428048947897
