circle_id,spacing,Unnamed: 0,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
189,20,5,Pizza-Scheune,8.4,10.0,,€€,35.0,italian,Rosa-Luxemburg-Straße 49 ,10178,Berlin,52.5280443,13.4099983,wolt
189,20,38,Soy Restaurant,9.4,10.0,,€€,55.0,mediterranean,Rosa-Luxemburg-Straße 30,10178,Berlin,52.52601407098775,13.411483058480062,wolt
189,20,43,Berliner Marcus Bräu,8.4,10.0,1.9,€€,,european,"Münzstraße 1-3,",10178,Berlin,52.52397187772237,13.409258666270404,wolt
189,20,44,Angry Chicken - Mitte,8.8,10.0,,€,35.0,snacks,Rosa-Luxemburg-Straße 7,10178,Berlin,52.5237938,13.4091964,wolt
189,20,49,Tiny's Pizza,8.2,10.0,1.9,€€,,italian,Rosenthaler Straße 36,10178,Berlin,52.52467990421904,13.40214651380219,wolt
189,20,58,Com Viet Berlin,7.8,10.0,,€€,35.0,asian,Münzstraße 3,10178,Berlin,52.5239938,13.408986,wolt
189,20,59,Five Guys Mitte,7.8,10.0,,€€,55.0,american,Alexanderpl. 2,10178,Berlin,52.5205493482613,13.41422543051924,wolt
189,20,72,Atame,9.2,,,€€,,mediterranean,Dircksenstraße 40,10178,Berlin,52.52355832952749,13.40683685030174,wolt
189,20,86,Chopstix Mitte,9.0,10.0,,€€,35.0,asian,Dircksenstraße 35,10178,Berlin,52.5228184,13.4095516,wolt
189,20,87,Tuans Huette,9.0,10.0,,€€,55.0,asian,Dircksenstraße 40,10178,Berlin,52.523608,13.4069478,wolt
189,20,91,Bar Internazionale,8.2,10.0,,€€,55.0,european,Rosa-Luxemburg-Str. 31,10178, Berlin,52.52628499999999,13.4109594,wolt
189,20,93,Quà Phê,9.4,10.0,,€,35.0,asian,Schendelgasse 9,10119,Berlin,52.52679045899932,13.408479274123788,wolt
189,20,105,O'Tacos Berlin Spandauer Str.,7.4,10.0,,€€,50.0,european,This is a virtual venue,10178,Berlin,52.5206084,13.404795,wolt
189,20,109,Berlin Currys,7.8,10.0,,€,35.0,fastfood,Karl-Liebknecht-Str. 13,10178,Berlin,52.5223087920727,13.40833332740671,wolt
189,20,110,Alt-Berliner Gasthaus Julchen Hoppe,9.0,10.0,1.9,€€,,european,Rathausstraße 25,10178,Berlin,52.51733607261106,13.404971896959797,wolt
189,20,119,SIIO,,10.0,1.9,€€,,asian,Spandauer Str. 3,10178,Berlin,52.5200252,13.4037884,wolt
189,20,127,Espresso House DomAquarée,8.8,10.0,1.9,€,,fastfood,Karl-Liebknecht-Str. 5,10178,Berlin,52.5199169,13.4040187,wolt
189,20,136,bacg,8.6,10.0,1.9,€,,middle eastern,Neue Schönhauser Str.,10178,Berlin,52.52485032890104,13.405544419780236,wolt
189,20,146,Katchi Ice Cream (Hackescher Markt),,10.0,1.9,€€,,breakfast/dessert,Oranienburger Strasse 89,10178,Berlin,52.52355439999999,13.4005345,wolt
189,20,153,Dolores - Mitte,8.8,10.0,,€€,35.0,mexican,Rosa – Luxemburg – Straße 7,10178,Berlin,52.5237938,13.4091964,wolt
189,20,161,Jabe Dine & Bar,8.8,10.0,,€€,55.0,asian,Alte Schönhauser Str. 7,10119,Berlin,52.5274014094146,13.408137673016736,wolt
189,20,162,Go!Fish - Spandauer Strasse,7.0,10.0,,€,50.0,seafood,This is a virtual venue,10178,Berlin,52.5206084,13.404795,wolt
189,20,171,Manngo,7.4,10.0,,€,35.0,asian,Mulackstraße 29,10119,Berlin,52.5273003,13.4056547,wolt
