,circle_id,kmradius,overlap,center_lat,center_lon,circle_weight
1915,1915,1,50,52.39405827510934,13.19813,16
1916,1916,1,50,52.39405827510934,13.210667988193114,14
1917,1917,1,50,52.39405827510934,13.223205976386229,12
1918,1918,1,50,52.39405827510934,13.23574396457934,24
1919,1919,1,50,52.39405827510934,13.248281952772452,20
1920,1920,1,50,52.39405827510934,13.260819940965566,26
1921,1921,1,50,52.39405827510934,13.27335792915868,10
1922,1922,1,50,52.39405827510934,13.285895917351793,4
1923,1923,1,50,52.39405827510934,13.298433905544906,4
1924,1924,1,50,52.39405827510934,13.31097189373802,0
1925,1925,1,50,52.39405827510934,13.323509881931132,0
1926,1926,1,50,52.39405827510934,13.336047870124244,0
1927,1927,1,50,52.39405827510934,13.348585858317358,0
1928,1928,1,50,52.39405827510934,13.361123846510472,0
1929,1929,1,50,52.39405827510934,13.373661834703585,2
1930,1930,1,50,52.39405827510934,13.386199822896698,8
1931,1931,1,50,52.39405827510934,13.398737811089813,38
1932,1932,1,50,52.39405827510934,13.411275799282924,26
1933,1933,1,50,52.39405827510934,13.423813787476035,8
1934,1934,1,50,52.39405827510934,13.43635177566915,16
1935,1935,1,50,52.39405827510934,13.448889763862264,16
1936,1936,1,50,52.39405827510934,13.461427752055377,4
1937,1937,1,50,52.39405827510934,13.47396574024849,0
1938,1938,1,50,52.39405827510934,13.486503728441605,2
1939,1939,1,50,52.39405827510934,13.499041716634716,2
1940,1940,1,50,52.39405827510934,13.51157970482783,30
1941,1941,1,50,52.39405827510934,13.524117693020942,31
1942,1942,1,50,52.39405827510934,13.536655681214055,14
1943,1943,1,50,52.39405827510934,13.549193669407169,8
1944,1944,1,50,52.39405827510934,13.561731657600282,5
1945,1945,1,50,52.39405827510934,13.574269645793397,5
1946,1946,1,50,52.39405827510934,13.586807633986508,4
1947,1947,1,50,52.403101992438906,13.19813,4
1948,1948,1,50,52.403101992438906,13.210667988193114,9
1949,1949,1,50,52.403101992438906,13.223205976386229,25
1950,1950,1,50,52.403101992438906,13.23574396457934,32
1951,1951,1,50,52.403101992438906,13.248281952772452,37
1952,1952,1,50,52.403101992438906,13.260819940965566,31
1953,1953,1,50,52.403101992438906,13.27335792915868,23
1954,1954,1,50,52.403101992438906,13.285895917351793,3
1955,1955,1,50,52.403101992438906,13.298433905544906,3
1956,1956,1,50,52.403101992438906,13.31097189373802,0
1957,1957,1,50,52.403101992438906,13.323509881931132,0
1958,1958,1,50,52.403101992438906,13.336047870124244,2
1959,1959,1,50,52.403101992438906,13.348585858317358,5
1960,1960,1,50,52.403101992438906,13.361123846510472,6
1961,1961,1,50,52.403101992438906,13.373661834703585,8
1962,1962,1,50,52.403101992438906,13.386199822896698,8
1963,1963,1,50,52.403101992438906,13.398737811089813,27
1964,1964,1,50,52.403101992438906,13.411275799282924,22
1965,1965,1,50,52.403101992438906,13.423813787476035,3
1966,1966,1,50,52.403101992438906,13.43635177566915,18
1967,1967,1,50,52.403101992438906,13.448889763862264,22
1968,1968,1,50,52.403101992438906,13.461427752055377,4
1969,1969,1,50,52.403101992438906,13.47396574024849,2
1970,1970,1,50,52.403101992438906,13.486503728441605,0
1971,1971,1,50,52.403101992438906,13.499041716634716,18
1972,1972,1,50,52.403101992438906,13.51157970482783,20
1973,1973,1,50,52.403101992438906,13.524117693020942,12
1974,1974,1,50,52.403101992438906,13.536655681214055,20
1975,1975,1,50,52.403101992438906,13.549193669407169,14
1976,1976,1,50,52.403101992438906,13.561731657600282,3
1977,1977,1,50,52.403101992438906,13.574269645793397,10
1978,1978,1,50,52.403101992438906,13.586807633986508,6
1979,1979,1,50,52.41214570976848,13.19813,4
1980,1980,1,50,52.41214570976848,13.210667988193114,6
1981,1981,1,50,52.41214570976848,13.223205976386229,16
1982,1982,1,50,52.41214570976848,13.23574396457934,21
1983,1983,1,50,52.41214570976848,13.248281952772452,6
1984,1984,1,50,52.41214570976848,13.260819940965566,20
1985,1985,1,50,52.41214570976848,13.27335792915868,14
1986,1986,1,50,52.41214570976848,13.285895917351793,5
1987,1987,1,50,52.41214570976848,13.298433905544906,19
1988,1988,1,50,52.41214570976848,13.31097189373802,22
1989,1989,1,50,52.41214570976848,13.323509881931132,12
1990,1990,1,50,52.41214570976848,13.336047870124244,21
1991,1991,1,50,52.41214570976848,13.348585858317358,31
1992,1992,1,50,52.41214570976848,13.361123846510472,26
1993,1993,1,50,52.41214570976848,13.373661834703585,23
1994,1994,1,50,52.41214570976848,13.386199822896698,13
1995,1995,1,50,52.41214570976848,13.398737811089813,61
1996,1996,1,50,52.41214570976848,13.411275799282924,55
1997,1997,1,50,52.41214570976848,13.423813787476035,10
1998,1998,1,50,52.41214570976848,13.43635177566915,7
1999,1999,1,50,52.41214570976848,13.448889763862264,6
2000,2000,1,50,52.41214570976848,13.461427752055377,1
2001,2001,1,50,52.41214570976848,13.47396574024849,1
2002,2002,1,50,52.41214570976848,13.486503728441605,40
2003,2003,1,50,52.41214570976848,13.499041716634716,48
2004,2004,1,50,52.41214570976848,13.51157970482783,13
2005,2005,1,50,52.41214570976848,13.524117693020942,10
2006,2006,1,50,52.41214570976848,13.536655681214055,22
2007,2007,1,50,52.41214570976848,13.549193669407169,10
2008,2008,1,50,52.41214570976848,13.561731657600282,12
2009,2009,1,50,52.41214570976848,13.574269645793397,22
2010,2010,1,50,52.41214570976848,13.586807633986508,28
2011,2011,1,50,52.42118942709804,13.19813,6
2012,2012,1,50,52.42118942709804,13.210667988193114,14
2013,2013,1,50,52.42118942709804,13.223205976386229,12
2014,2014,1,50,52.42118942709804,13.23574396457934,7
2015,2015,1,50,52.42118942709804,13.248281952772452,8
2016,2016,1,50,52.42118942709804,13.260819940965566,37
2017,2017,1,50,52.42118942709804,13.27335792915868,13
2018,2018,1,50,52.42118942709804,13.285895917351793,16
2019,2019,1,50,52.42118942709804,13.298433905544906,40
2020,2020,1,50,52.42118942709804,13.31097189373802,45
2021,2021,1,50,52.42118942709804,13.323509881931132,76
2022,2022,1,50,52.42118942709804,13.336047870124244,64
2023,2023,1,50,52.42118942709804,13.348585858317358,22
2024,2024,1,50,52.42118942709804,13.361123846510472,21
2025,2025,1,50,52.42118942709804,13.373661834703585,16
2026,2026,1,50,52.42118942709804,13.386199822896698,34
2027,2027,1,50,52.42118942709804,13.398737811089813,66
2028,2028,1,50,52.42118942709804,13.411275799282924,36
2029,2029,1,50,52.42118942709804,13.423813787476035,41
2030,2030,1,50,52.42118942709804,13.43635177566915,52
2031,2031,1,50,52.42118942709804,13.448889763862264,38
2032,2032,1,50,52.42118942709804,13.461427752055377,41
2033,2033,1,50,52.42118942709804,13.47396574024849,53
2034,2034,1,50,52.42118942709804,13.486503728441605,98
2035,2035,1,50,52.42118942709804,13.499041716634716,74
2036,2036,1,50,52.42118942709804,13.51157970482783,11
2037,2037,1,50,52.42118942709804,13.524117693020942,16
2038,2038,1,50,52.42118942709804,13.536655681214055,30
2039,2039,1,50,52.42118942709804,13.549193669407169,22
2040,2040,1,50,52.42118942709804,13.561731657600282,5
2041,2041,1,50,52.42118942709804,13.574269645793397,27
2042,2042,1,50,52.42118942709804,13.586807633986508,28
2043,2043,1,50,52.43023314442761,13.19813,34
2044,2044,1,50,52.43023314442761,13.210667988193114,26
2045,2045,1,50,52.43023314442761,13.223205976386229,27
2046,2046,1,50,52.43023314442761,13.23574396457934,21
2047,2047,1,50,52.43023314442761,13.248281952772452,88
2048,2048,1,50,52.43023314442761,13.260819940965566,101
2049,2049,1,50,52.43023314442761,13.27335792915868,56
2050,2050,1,50,52.43023314442761,13.285895917351793,10
2051,2051,1,50,52.43023314442761,13.298433905544906,34
2052,2052,1,50,52.43023314442761,13.31097189373802,47
2053,2053,1,50,52.43023314442761,13.323509881931132,96
2054,2054,1,50,52.43023314442761,13.336047870124244,106
2055,2055,1,50,52.43023314442761,13.348585858317358,46
2056,2056,1,50,52.43023314442761,13.361123846510472,19
2057,2057,1,50,52.43023314442761,13.373661834703585,25
2058,2058,1,50,52.43023314442761,13.386199822896698,50
2059,2059,1,50,52.43023314442761,13.398737811089813,32
2060,2060,1,50,52.43023314442761,13.411275799282924,6
2061,2061,1,50,52.43023314442761,13.423813787476035,23
2062,2062,1,50,52.43023314442761,13.43635177566915,48
2063,2063,1,50,52.43023314442761,13.448889763862264,78
2064,2064,1,50,52.43023314442761,13.461427752055377,71
2065,2065,1,50,52.43023314442761,13.47396574024849,47
2066,2066,1,50,52.43023314442761,13.486503728441605,48
2067,2067,1,50,52.43023314442761,13.499041716634716,12
2068,2068,1,50,52.43023314442761,13.51157970482783,6
2069,2069,1,50,52.43023314442761,13.524117693020942,23
2070,2070,1,50,52.43023314442761,13.536655681214055,67
2071,2071,1,50,52.43023314442761,13.549193669407169,65
2072,2072,1,50,52.43023314442761,13.561731657600282,7
