Name,lat,lon
Lale Bistro,52.55792,13.21908
Il Castello,52.5614,13.20874
Bootshaus Haselhorst,52.55072,13.23625
Kale Gıda Lebensmittelmarkt - Quality Halal Product,52.56126,13.20812
Ye-Mc,52.56146,13.20816
Lasila,52.56205,13.20884
Curry 55,52.56217,13.20833
Wirtshaus Heimatliebe,52.55072,13.23625
Pizza del Leo,52.55185,13.20986
Restaurant Cafe'Havelblick,52.55416,13.21045
China Restaurant Swang Lung,52.56233,13.20836
Ars Vini,52.55938,13.23962
La Diva,52.57308,13.22354
Restaurant Emil's at Centrovital Hotel,52.5469,13.20954
Call A Pizza,52.55153,13.19972
Hähnchenprinz,52.57578,13.21318
Pong's,52.57303,13.22686
Fährhaus Spandau,52.57308,13.22354
Sutos,52.56866,13.20245
Raymons - das Fischrestaurant,52.54634,13.21172
Night and Day,52.5501,13.20066
Luitpold,52.55682,13.20425
Stilbruch,52.54879,13.2218
Bistro Class,52.54822,13.20066
Maximilian,52.554198,13.198877
Havel Bistro,52.55588,13.2073
Pizzeria la Familia Spandau,52.54511,13.20759
Cafe' Sofra3,52.54792,13.20147
Kochkunst,52.5469,13.20954
Bowl Arena Spandau,52.54952,13.21058
Conny's Eiscafe,52.57372,13.21641
Pizza Hot & Fresh,52.55104,13.19986
Bereket Grillhaus,52.55588,13.2073
Café Hangôver,52.54501,13.20868
Shisha Café Sandmann,52.55171,13.19964
Mevlana Grill,52.54851,13.20851
Trattoria Sale & Pepe,52.55655,13.2074
Spandau Sushi - China Thai,52.54869,13.20164
Café im Bienenstock,52.55903,13.24005
Café Spandauer,52.54783,13.20096
Asia Sushi Bar,52.43294,13.53571
SUBWAY,52.43294,13.53571
Taverna Odyssee,52.44803,13.50792
Alte Forno Sonnenallee,52.44283,13.53544
Sushi and Friends,52.44806,13.50767
El Ganado,52.44732,13.50728
Esswirtschaft,52.43134,13.53259
Café Campus,52.4358,13.52929
Cuccis,52.44413,13.53079
Olivenbaum,52.43163,13.53475
Mani Mogo,52.43275,13.5323
Holz Kohlen Grill,52.44283,13.53544
Ngân Long,52.43912,13.50762
Muttis Futterbude,52.44454,13.51758
MR. Wu Restaurant,52.43221,13.53691
Pinoli Cafe-Restaurant,52.44913,13.51264
Olympia Greek-Food,52.43387,13.53825
BURGER KING,52.45257,13.51483
Siena,52.45426,13.51764
Call A Pizza,52.45228,13.53135
Ristorante Villa Romana Berlin,52.43575,13.54824
Venezia,52.43727,13.54482
Meet Saigon,52.43382,13.54032
Suppenkasper,52.43727,13.54482
Currywurst Nr 1,52.43555,13.54199
P Two,52.43889,13.55046
China-Restaurant Palast,52.43608,13.54341
Blattlaus Adlershof,52.44139,13.5372
Bistro la Petit,52.42983,13.54185
Himbeerfrosch,52.43875,13.54837
Athen,52.43494,13.54694
Ristorante Il Porto,52.42515,13.52782
Eat Green,52.43387,13.53825
Maharadscha,52.43584,13.54845
Imbiss Bao Cun,52.43654,13.54404
Bella Italia,52.43811,13.54896
La Leona,52.43575,13.54824
Hong Kong Haus,52.43434,13.54329
Adler Burger,52.43511,13.5424
Il Mondo,52.43471,13.54311
Kobani Bistro,52.45447,13.51627
Springborn-Club,52.43645,13.49773
Gaumenschmaus Hähnchengrill,52.43212,13.4963
Maximilian,52.43433,13.50173
Artemis,52.45312,13.52453
Serrano,52.45348,13.51805
Cadadia,52.42846,13.52568
Kaiser Drachen Chinarestaurant,52.4354,13.50174
Lenders,52.4443,13.50582
Pizza Chero,52.45473,13.51634
Caffe Kamee,52.42949,13.53025
Kranhaus Cafe,52.45426,13.52878
Don Giovanni,52.44271,13.50643
Il Monello,52.45291,13.51013
Eiskultur Berlin,52.4551,13.51484
Mia Toscana,52.43843,13.54985
Ibo's Kebup,52.435131,13.54087
Café an der Spree,52.45249,13.53402
Cafeteria im Archenhold Gymnasium,52.45138,13.5229
Steakhaus Mediterran,52.45311,13.53859
Azuma,52.43302,13.53696
Tran Asia,52.43591,13.54324
Zamzam,52.45621,13.51947
Grill Profi,52.45068,13.50843
Pizza Capitol,52.43734,13.54687
Beef Burger,52.44608,13.5064
Stern Bistro,52.45352,13.50955
Sonnen-Café,52.45261,13.50958
Die Küchengeister,52.43886,13.54988
Cafe Zara,52.43555,13.54199
Mensa Oase Hu Adlershof,52.42949,13.53025
Mac's Bistro,52.445269,13.504441
Lekker.Berlin,52.44988,13.53556
Olympia Greek Food,52.451982,13.52311
Airleben-Cuisine,52.43382,13.54032
Al Castagno,52.58711,13.22581
Plitvice,52.58435,13.22735
Ristorante Emilio,52.60186,13.23964
Straßenbahndepot,52.60588,13.21233
Tenniscasino Heiligensee,52.60023,13.2211
Seebad Heiligensee,52.60011,13.2131
Pizzeria Piccola Verona,52.43987,13.27522
BAB & Kimchi,52.43987,13.27522
Café Lebensart,52.43625,13.26151
Romana,52.44308,13.28553
Susido Restaurant,52.43219,13.25878
Ristorante Arcimboldo,52.43628,13.26071
Curry-Station,52.4316,13.25934
Veggie No. 1 - die Grüne Mensa,52.44694,13.28327
Unser Feines Restaurant,52.43335,13.28675
Tomasa,52.43475,13.26263
Efes Grill,52.43021,13.25935
Anneliese,52.43034,13.25979
Sumak,52.430846,13.259519
Asia MJ Snack,52.43063,13.2592
Borkowski's Curry & Chicken,52.43724,13.26216
Kaffeespezialitäten Coffee,52.43021,13.25935
Mühlengarten,52.43049,13.2671
La Fontaine,52.4356,13.25872
Zehlendorfer Grill,52.43052,13.25873
The Asia Kitchen,52.43804,13.26187
Cafe Bistro Tableau,52.43219,13.25878
Block House,52.43149,13.25883
Civans Imbiss,52.43576,13.26122
MR. Tokyo,52.43219,13.25878
Lieblingswaffel,52.4348,13.26283
Burgerzimmer XII,52.4348,13.26283
Capital Gourmet,52.43077,13.26537
Shaolin China Restaurant,52.43515,13.26169
Aysim,52.43063,13.2592
Cafe Rodelhütte,52.4356,13.25872
Milch und Honig,52.44452,13.26131
Saigon Bbq Art & Sushi Bar,52.43804,13.26187
Ko Phai 33,52.43195,13.25916
Sakura,52.43576,13.26122
Cucciolo,52.4337,13.26013
Coffeeshop Z,52.43261,13.25949
Al Posto,52.43433,13.28681
Shanling,52.43523,13.26131
Arkade,52.43485,13.25974
Trattoria Toscana Berlin,52.45418,13.27315
Mediterraneo,52.44786,13.25193
Cake Artist,52.42846,13.25615
Piazza,52.43499,13.25778
Breadleys,52.44985,13.26965
Thai Cuisine,52.42968,13.25995
Madloba Ethno,52.44279,13.29783
S1 Burger,52.44327,13.29465
SUBWAY,52.42993,13.25988
Marinella,52.4446,13.29171
Restaurant Zeus,52.43261,13.29964
Merida,52.4444,13.29463
Cafe Kauderwelsch,52.45103,13.28802
Litehouse,52.44228,13.2955
