lat,lon
52.5303002,13.3288544
52.5274316,13.3309139
52.52414,13.33285
52.5282318,13.3283754
52.5244728,13.330153
52.5273113,13.3313851
52.5240686,13.3376894
52.5263307,13.330412
52.526944,13.3276049
52.5307893,13.3307873
52.5291219,13.3515039
52.53041,13.31621
52.5264636,13.3493792
52.5245142,13.3329967
52.5315974,13.3490692
52.5249111,13.369492
52.5272978,13.3281416
52.52414,13.33285
52.5467301,13.3492476
52.5238933,13.3519608
52.541624,13.3489217
52.5418249,13.3504687
52.5005244,13.3369203
52.5228427,13.3595817
52.5255274,13.3078462
52.54868,13.35316
52.5456681,13.3584539
52.5177575,13.3072377
52.5460914,13.3603121
52.551296,13.3511256
52.545175,13.351628
52.5447756,13.3610642
52.5337482,13.4052141
52.5259259,13.38825
52.5499386,13.3493045
52.5520577,13.3482362
52.5250277,13.3916776
52.5569306,13.3852802
52.497315,13.3514542
52.545079,13.3633909
52.50064,13.3629801
52.5111603,13.389742
52.505275,13.3010598
52.5525636,13.3666933
52.54147,13.37033
52.5117899,13.3844984
52.5215701,13.4494721
52.55037,13.36847
52.5318293,13.469589
52.5249111,13.369492
52.53983,13.42219
52.4936537,13.3458766
52.5580769,13.36552
52.5479203,13.3748336
52.5259176,13.3898183
52.4977,13.3246917
52.5449058,13.3611985
52.5415846,13.3507134
52.5276532,13.38861
52.5416705,13.4210762
52.5100106,13.4520069
52.5319419,13.3832472
52.55984,13.33476
52.5237082,13.3799029
52.5564036,13.3734523
52.5515156,13.3825706
52.5075063,13.3895957
52.5265863,13.4510299
52.5102817,13.3792042
52.5402371,13.4159314
52.5238316,13.3985704
52.4939795,13.3888265
52.5511104,13.3842187
52.5522778,13.4667823
52.5503645,13.3789175
52.5649848,13.3252247
52.5305831,13.4051561
52.5148805,13.4738729
52.5532352,13.3827525
52.5472856,13.410501
52.5516147,13.4163546
52.5410406,13.4148786
52.5591156,13.3731472
52.52766,13.3906
52.5380708,13.2696223
52.50018,13.42427
52.5310726,13.4228937
52.5479212,13.3906112
52.5402234,13.4158852
52.507,13.39219
52.4902266,13.3873411
52.5607013,13.376315
52.4812756,13.3472078
52.5305501,13.4183242
52.412163,13.3125831
52.5238316,13.3985704
52.5670287,13.3977573
52.5252133,13.4018684
52.545495,13.4216617
52.535965,13.4343698
52.485443,13.3622971
52.5209017,13.197039
52.5104461,13.3800834
52.5085125,13.3938621
52.5250839,13.369402
52.5548742,13.4371406
52.5126154,13.3905721
52.54074,13.41774
52.5354241,13.4119296
52.5450064,13.42991
52.5396986,13.422779
52.5402119,13.4195491
52.5294196,13.4005565
52.5475952,13.4123576
52.54295,13.35608
52.5388499,13.4096638
52.5403402,13.4149689
52.5677732,13.5722306
52.40748,13.3573
52.4644024,13.4378733
52.5543535,13.4129026
52.5409453,13.4147573
52.5102491,13.3799541
52.5249111,13.369492
52.54055,13.35073
52.52993,13.47182
52.538115,13.20241
52.4515217,13.4384131
52.4875423,13.3877248
52.5251109,13.3704733
52.5417818,13.4209256
52.4881688,13.3377084
52.4547691,13.5163746
52.5199714,13.4498552
52.5402216,13.3525806
52.487888,13.3583794
52.5115628,13.4165335
52.5208768,13.4055181
52.5315823,13.3994211
52.5350171,13.4223028
52.5249111,13.369492
52.51281,13.4082101
52.5344185,13.4162803
52.5249111,13.369492
52.56269,13.4771
52.5384765,13.4293162
52.53959,13.39565
52.50208,13.39149
52.5415981,13.3491473
52.5020211,13.4195515
52.5257518,13.3685059
52.5417129,13.3496269
52.5115254,13.4343133
52.5249111,13.369492
52.5180296,13.4154194
52.5373829,13.2479482
52.4433785,13.3859667
52.5446054,13.359932
52.5485504,13.3530704
52.5769288,13.3684896
52.5425574,13.3563213
52.5822672,13.3196328
52.50205,13.39094
52.5378895,13.2469503
52.527942,13.341623
52.527977,13.3422339
52.527491,13.3385216
52.5249111,13.369492
52.5463538,13.3598263
52.5503867,13.352796
52.5444684,13.3424207
52.5268643,13.3724638
52.5245406,13.3487635
52.5244233,13.3490412
52.5501276,13.3521188
52.52691,13.3518354
52.52674,13.35273
52.5355451,13.3570218
52.535395,13.3558204
52.53523,13.39758
52.4797755,13.4434485
52.5284163,13.3789203
52.5476784,13.3688599
52.5413107,13.3702582
52.5515156,13.3825706
52.5502599,13.3647015
52.55483,13.38401
52.5229,13.3583501
52.5471174,13.3569998
52.5228096,13.3680145
52.5494582,13.4157815
52.5095362,13.3746744
52.5519694,13.3828353
52.5541554,13.3825765
52.54136,13.3703699
52.5458637,13.3587668
52.5554661,13.3836295
52.5464251,13.3585143
52.54505,13.36891
52.5485137,13.3628713
52.5424086,13.3702219
52.5243924,13.3694417
52.5528131,13.3789818
52.5284615,13.3765659
52.5421094,13.3669044
52.5364449,13.3765115
52.5016918,13.4181371
52.5320555,13.3816192
52.5168953,13.3778308
52.5506605,13.3850814
52.508923,13.3748658
52.508671,13.3753261
52.552525,13.380278
52.5082136,13.3769898
52.5258914,13.3868659
52.508923,13.3748658
52.5082857,13.3898265
52.5038107,13.3804042
52.5314558,13.4322136
52.5125932,13.394473
52.5416705,13.4210762
52.53058,13.43446
52.5312405,13.4345223
52.5317452,13.4345253
52.5221767,13.3781882
52.5062668,13.3731315
52.5269217,13.3312968
52.5323423,13.3498582
52.5421856,13.3577109
52.4997045,13.4170335
52.5185412,13.3414995
52.5472807,13.3582544
52.5411184,13.3703728
52.4975441,13.3464952
52.540732,13.3705076
52.5496643,13.3512912
52.55498,13.34518
52.5559693,13.3429882
52.5676477,13.3531489
52.55179,13.35552
52.50758,13.32191
52.5647418,13.3243798
52.5295285,13.3848003
52.5663225,13.317449
52.5390366,13.4091437
52.4995879,13.4257618
52.5652593,13.363164
52.5111789,13.3886504
52.5547634,13.3846608
52.5415498,13.4145713
52.5314717,13.3967024
52.4989241,13.3553525
52.5769562,13.2790206
52.553577,13.411214
52.5460261,13.4142707
52.53741,13.41181
52.5275297,13.3981443
52.5415535,13.4145696
52.55835,13.38644
52.5233116,13.4038078
52.4594138,13.3725554
52.5531006,13.389099
52.4898136,13.3602157
52.5438787,13.4183748
52.5282431,13.4112932
52.5417953,13.4117164
52.5379154,13.4178055
52.5411266,13.4142951
52.5418483,13.4151122
52.54051,13.4140499
52.5477054,13.3509976
52.551717,13.35819
52.50468,13.38084
52.53207,13.43289
52.5254803,13.3298761
52.5285502,13.3296872
52.5245999,13.3301549
52.5294856,13.3283563
52.5245999,13.3301549
52.5287042,13.31662
52.5260696,13.3300561
52.52453,13.3350303
52.5250842,13.3430986
52.5223837,13.324399
52.52737,13.3268474
52.5230146,13.3387426
52.52423,13.34983
52.5232625,13.3234414
52.5264497,13.3491307
52.5287222,13.3186791
52.5201231,13.3468812
52.525,13.35716
52.541624,13.3489217
52.5269294,13.3067297
52.5255104,13.3113491
52.513573,13.3067449
52.519774,13.3286561
52.52606,13.31221
52.5057239,13.3205023
52.5172177,13.3047606
52.5259056,13.3114851
52.5230416,13.3125492
52.5235626,13.3009135
52.5058433,13.3261773
52.52549,13.31024
52.5172303,13.3212579
52.5495623,13.3478648
52.5175314,13.2968649
52.5262884,13.30376
52.5520577,13.3482362
52.5247234,13.2982731
52.5055404,13.3235375
52.5122708,13.3120233
52.5471086,13.3725928
52.5174228,13.3077062
52.51545,13.30494
52.5512581,13.3500139
52.5487764,13.3544263
52.52441,13.30258
52.5475678,13.3540513
52.55201,13.3499
52.5535259,13.3459875
52.5108669,13.3058606
52.5076602,13.309248
52.5538265,13.3456109
52.50631,13.3182
52.550543,13.3662987
52.5046373,13.3274203
52.5245199,13.3862662
52.5063233,13.3335382
52.5140886,13.337587
52.5127346,13.3054124
52.5169397,13.3006931
52.5108669,13.3058606
52.54648,13.36978
52.5127346,13.3054124
52.5070401,13.3222683
52.54952,13.35118
52.5056195,13.3379602
52.5409614,13.3703478
52.5551,13.34469
52.510464,13.3057622
52.5251109,13.3704733
52.5211654,13.384961
52.5057239,13.3205023
52.5056604,13.3264524
52.5442931,13.3712242
52.5507225,13.3628976
52.55207,13.4289
52.5124266,13.3096313
52.5494582,13.4157815
52.5081522,13.3336188
52.5509098,13.3673564
52.5039029,13.3302567
52.53045,13.38674
52.5468681,13.4063579
52.5509098,13.3673564
52.5192583,13.2992178
52.5226156,13.3788549
52.5225593,13.386168
52.5598265,13.3460066
52.527607,13.3864059
52.5397205,13.422539
52.5222328,13.3993145
52.54051,13.4140499
52.5407869,13.4127241
52.52584,13.38769
52.5409928,13.4136947
52.527491,13.3385216
52.5038107,13.3804042
52.530526,13.4021449
52.5229508,13.4127606
52.5089707,13.3895674
52.5189405,13.3813472
52.5446345,13.4268669
52.5474177,13.3893208
52.549678,13.3879517
52.5489109,13.4144516
52.5531,13.4162099
52.5228824,13.4005759
52.5496101,13.4544001
52.5105721,13.3814364
52.5376951,13.4084503
52.4923913,13.3869581
